Step 133 | Time: 2.217s | Pos: (596.1, 400.9) | Vel: (-219.7, 204.3) | Orient: -2.20 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 134 | Time: 2.233s | Pos: (592.4, 404.3) | Vel: (-219.7, 204.3) | Orient: -2.23 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 135 | Time: 2.250s | Pos: (588.7, 407.7) | Vel: (-219.7, 204.3) | Orient: -2.26 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 136 | Time: 2.267s | Pos: (585.1, 411.1) | Vel: (-219.7, 204.3) | Orient: -2.30 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 137 | Time: 2.283s | Pos: (581.4, 414.5) | Vel: (-219.7, 204.3) | Orient: -2.33 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 138 | Time: 2.300s | Pos: (577.7, 417.9) | Vel: (-219.7, 204.3) | Orient: -2.36 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 139 | Time: 2.317s | Pos: (574.1, 421.3) | Vel: (-219.7, 204.3) | Orient: -2.40 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 140 | Time: 2.333s | Pos: (570.4, 424.7) | Vel: (-219.7, 204.3) | Orient: -2.43 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 141 | Time: 2.350s | Pos: (566.8, 428.1) | Vel: (-219.7, 204.3) | Orient: -2.46 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 142 | Time: 2.367s | Pos: (563.1, 431.5) | Vel: (-219.7, 204.3) | Orient: -2.50 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 143 | Time: 2.383s | Pos: (559.4, 434.9) | Vel: (-219.7, 204.3) | Orient: -2.53 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 144 | Time: 2.400s | Pos: (555.8, 438.3) | Vel: (-219.7, 204.3) | Orient: -2.56 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 145 | Time: 2.417s | Pos: (552.1, 441.7) | Vel: (-219.7, 204.3) | Orient: -2.60 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 146 | Time: 2.433s | Pos: (548.4, 445.1) | Vel: (-219.7, 204.3) | Orient: -2.63 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 147 | Time: 2.450s | Pos: (544.8, 448.5) | Vel: (-219.7, 204.3) | Orient: -2.66 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 148 | Time: 2.467s | Pos: (541.1, 451.9) | Vel: (-219.7, 204.3) | Orient: -2.70 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 149 | Time: 2.483s | Pos: (537.5, 455.3) | Vel: (-219.7, 204.3) | Orient: -2.73 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 150 | Time: 2.500s | Pos: (533.8, 458.7) | Vel: (-219.7, 204.3) | Orient: -2.76 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 151 | Time: 2.517s | Pos: (530.1, 462.1) | Vel: (-219.7, 204.3) | Orient: -2.80 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 152 | Time: 2.533s | Pos: (526.5, 465.5) | Vel: (-219.7, 204.3) | Orient: -2.83 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 153 | Time: 2.550s | Pos: (522.8, 468.9) | Vel: (-219.7, 204.3) | Orient: -2.86 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 154 | Time: 2.567s | Pos: (519.2, 472.3) | Vel: (-219.7, 204.3) | Orient: -2.90 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 155 | Time: 2.583s | Pos: (515.5, 475.7) | Vel: (-219.7, 204.3) | Orient: -2.93 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 156 | Time: 2.600s | Pos: (511.8, 479.2) | Vel: (-219.7, 204.3) | Orient: -2.96 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 157 | Time: 2.617s | Pos: (508.2, 482.6) | Vel: (-219.7, 204.3) | Orient: -3.00 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 158 | Time: 2.633s | Pos: (504.5, 486.0) | Vel: (-219.7, 204.3) | Orient: -3.03 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 159 | Time: 2.650s | Pos: (500.8, 489.4) | Vel: (-219.7, 204.3) | Orient: -3.06 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 160 | Time: 2.667s | Pos: (497.2, 492.8) | Vel: (-219.7, 204.3) | Orient: -3.10 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 161 | Time: 2.683s | Pos: (493.5, 496.2) | Vel: (-219.7, 204.3) | Orient: -3.13 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 162 | Time: 2.700s | Pos: (489.9, 499.6) | Vel: (-219.7, 204.3) | Orient: 3.12 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 163 | Time: 2.717s | Pos: (486.2, 503.0) | Vel: (-219.7, 204.3) | Orient: 3.09 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 164 | Time: 2.733s | Pos: (482.5, 506.4) | Vel: (-219.7, 204.3) | Orient: 3.05 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 165 | Time: 2.750s | Pos: (478.9, 509.8) | Vel: (-219.7, 204.3) | Orient: 3.02 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
