Step 71 | Time: 1.183s | Pos: (682.5, 308.2) | Vel: (85.2, -52.3) | Orient: 0.34 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 163.6 | Colliding: False | NearestObstacle: 95.2
Step 72 | Time: 1.200s | Pos: (684.0, 307.3) | Vel: (85.5, -51.8) | Orient: 0.30 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 162.0 | Colliding: False | NearestObstacle: 94.9
Step 73 | Time: 1.217s | Pos: (685.4, 306.4) | Vel: (85.8, -51.4) | Orient: 0.27 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 160.5 | Colliding: False | NearestObstacle: 94.7
Step 74 | Time: 1.233s | Pos: (686.8, 305.6) | Vel: (86.1, -50.9) | Orient: 0.24 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 158.9 | Colliding: False | NearestObstacle: 94.4
Step 75 | Time: 1.250s | Pos: (688.3, 304.8) | Vel: (86.4, -50.4) | Orient: 0.20 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 157.3 | Colliding: False | NearestObstacle: 94.2
Step 76 | Time: 1.267s | Pos: (689.7, 303.9) | Vel: (86.6, -50.0) | Orient: 0.17 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 155.8 | Colliding: False | NearestObstacle: 94.0
Step 77 | Time: 1.283s | Pos: (691.2, 303.1) | Vel: (86.9, -49.5) | Orient: 0.14 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 154.2 | Colliding: False | NearestObstacle: 93.8
Step 78 | Time: 1.300s | Pos: (692.6, 302.3) | Vel: (87.1, -49.1) | Orient: 0.10 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 152.7 | Colliding: False | NearestObstacle: 93.6
Step 79 | Time: 1.317s | Pos: (694.1, 301.5) | Vel: (87.4, -48.7) | Orient: 0.07 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 151.1 | Colliding: False | NearestObstacle: 93.5
Step 80 | Time: 1.333s | Pos: (695.5, 300.7) | Vel: (87.6, -48.2) | Orient: 0.04 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 149.5 | Colliding: False | NearestObstacle: 93.3
Step 81 | Time: 1.350s | Pos: (697.0, 299.9) | Vel: (87.8, -47.8) | Orient: 0.00 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 148.0 | Colliding: False | NearestObstacle: 93.2
Step 82 | Time: 1.367s | Pos: (698.5, 299.1) | Vel: (88.1, -47.4) | Orient: -0.03 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 146.4 | Colliding: False | NearestObstacle: 93.1
Step 83 | Time: 1.383s | Pos: (699.9, 298.3) | Vel: (88.3, -46.9) | Orient: -0.06 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 144.8 | Colliding: False | NearestObstacle: 93.0
Step 84 | Time: 1.400s | Pos: (701.4, 297.5) | Vel: (88.5, -46.5) | Orient: -0.10 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 143.3 | Colliding: False | NearestObstacle: 92.9
Step 85 | Time: 1.417s | Pos: (702.9, 296.8) | Vel: (88.8, -46.0) | Orient: -0.12 rad | AngVel: -1.59 | Speed: 100.0 | DistToTarget: 141.7 | Colliding: False | NearestObstacle: 92.8
Step 86 | Time: 1.433s | Pos: (704.4, 296.0) | Vel: (89.0, -45.6) | Orient: -0.14 rad | AngVel: -0.85 | Speed: 100.0 | DistToTarget: 140.1 | Colliding: False | NearestObstacle: 92.8
Step 87 | Time: 1.450s | Pos: (705.9, 295.2) | Vel: (89.2, -45.1) | Orient: -0.14 rad | AngVel: -0.12 | Speed: 100.0 | DistToTarget: 138.6 | Colliding: False | NearestObstacle: 92.8
Step 88 | Time: 1.467s | Pos: (707.3, 294.5) | Vel: (89.5, -44.7) | Orient: -0.13 rad | AngVel: 0.39 | Speed: 100.0 | DistToTarget: 137.0 | Colliding: False | NearestObstacle: 92.7
Step 89 | Time: 1.483s | Pos: (708.8, 293.8) | Vel: (89.7, -44.2) | Orient: -0.12 rad | AngVel: 0.64 | Speed: 100.0 | DistToTarget: 135.4 | Colliding: False | NearestObstacle: 92.7
Step 90 | Time: 1.500s | Pos: (710.3, 293.0) | Vel: (90.0, -43.7) | Orient: -0.11 rad | AngVel: 0.67 | Speed: 100.0 | DistToTarget: 133.9 | Colliding: False | NearestObstacle: 92.7
Step 91 | Time: 1.517s | Pos: (711.8, 292.3) | Vel: (90.2, -43.2) | Orient: -0.10 rad | AngVel: 0.58 | Speed: 100.0 | DistToTarget: 132.3 | Colliding: False | NearestObstacle: 92.8
Step 92 | Time: 1.533s | Pos: (713.3, 291.6) | Vel: (90.4, -42.7) | Orient: -0.09 rad | AngVel: 0.43 | Speed: 100.0 | DistToTarget: 130.7 | Colliding: False | NearestObstacle: 92.8
