Step 56 | Time: 0.933s | Pos: (642.3, 343.9) | Vel: (131.1, 43.5) | Orient: -0.58 rad | AngVel: -0.27 | Speed: 138.1 | DistToTarget: 395.8 | Colliding: False | NearestObstacle: 98.0
Step 57 | Time: 0.950s | Pos: (644.6, 344.7) | Vel: (140.5, 46.1) | Orient: -0.59 rad | AngVel: -0.29 | Speed: 147.9 | DistToTarget: 394.3 | Colliding: False | NearestObstacle: 97.7
Step 58 | Time: 0.967s | Pos: (647.1, 345.5) | Vel: (149.7, 48.7) | Orient: -0.59 rad | AngVel: -0.31 | Speed: 157.5 | DistToTarget: 392.7 | Colliding: False | NearestObstacle: 97.4
Step 59 | Time: 0.983s | Pos: (649.8, 346.4) | Vel: (158.7, 51.3) | Orient: -0.60 rad | AngVel: -0.34 | Speed: 166.8 | DistToTarget: 391.0 | Colliding: False | NearestObstacle: 97.1
Step 60 | Time: 1.000s | Pos: (652.6, 347.3) | Vel: (167.5, 53.9) | Orient: -0.61 rad | AngVel: -0.36 | Speed: 175.9 | DistToTarget: 389.2 | Colliding: False | NearestObstacle: 96.9
Step 61 | Time: 1.017s | Pos: (655.5, 348.2) | Vel: (176.0, 56.4) | Orient: -0.61 rad | AngVel: -0.38 | Speed: 184.8 | DistToTarget: 387.3 | Colliding: False | NearestObstacle: 96.8
Step 62 | Time: 1.033s | Pos: (658.6, 349.2) | Vel: (184.4, 58.7) | Orient: -0.62 rad | AngVel: -0.40 | Speed: 193.5 | DistToTarget: 385.4 | Colliding: False | NearestObstacle: 96.7
Step 63 | Time: 1.050s | Pos: (661.8, 350.2) | Vel: (192.7, 60.8) | Orient: -0.63 rad | AngVel: -0.42 | Speed: 202.0 | DistToTarget: 383.4 | Colliding: False | NearestObstacle: 96.7
Step 64 | Time: 1.067s | Pos: (665.1, 351.2) | Vel: (200.8, 62.5) | Orient: -0.63 rad | AngVel: -0.44 | Speed: 210.3 | DistToTarget: 381.3 | Colliding: False | NearestObstacle: 96.8
Step 65 | Time: 1.083s | Pos: (668.6, 352.3) | Vel: (208.8, 63.7) | Orient: -0.64 rad | AngVel: -0.46 | Speed: 218.3 | DistToTarget: 379.1 | Colliding: False | NearestObstacle: 97.0
Step 66 | Time: 1.100s | Pos: (672.2, 353.4) | Vel: (216.6, 64.5) | Orient: -0.65 rad | AngVel: -0.48 | Speed: 226.0 | DistToTarget: 376.9 | Colliding: False | NearestObstacle: 97.3
Step 67 | Time: 1.117s | Pos: (676.0, 354.4) | Vel: (224.3, 64.6) | Orient: -0.66 rad | AngVel: -0.50 | Speed: 233.4 | DistToTarget: 374.6 | Colliding: False | NearestObstacle: 97.7
Step 68 | Time: 1.133s | Pos: (679.8, 355.5) | Vel: (231.7, 64.1) | Orient: -0.67 rad | AngVel: -0.52 | Speed: 240.4 | DistToTarget: 372.2 | Colliding: False | NearestObstacle: 98.2
Step 69 | Time: 1.150s | Pos: (683.8, 356.6) | Vel: (238.8, 62.9) | Orient: -0.67 rad | AngVel: -0.54 | Speed: 247.0 | DistToTarget: 369.7 | Colliding: False | NearestObstacle: 98.8
Step 70 | Time: 1.167s | Pos: (687.9, 357.6) | Vel: (245.6, 61.1) | Orient: -0.68 rad | AngVel: -0.55 | Speed: 253.1 | DistToTarget: 367.2 | Colliding: False | NearestObstacle: 99.5
Step 71 | Time: 1.183s | Pos: (692.1, 358.6) | Vel: (252.0, 58.7) | Orient: -0.69 rad | AngVel: -0.57 | Speed: 258.8 | DistToTarget: 364.5 | Colliding: False | NearestObstacle: 100.2
Step 72 | Time: 1.200s | Pos: (696.4, 359.5) | Vel: (258.0, 55.6) | Orient: -0.70 rad | AngVel: -0.58 | Speed: 263.9 | DistToTarget: 361.8 | Colliding: False | NearestObstacle: 101.1
Step 73 | Time: 1.217s | Pos: (700.8, 360.3) | Vel: (263.3, 52.0) | Orient: -0.71 rad | AngVel: -0.59 | Speed: 268.4 | DistToTarget: 359.1 | Colliding: False | NearestObstacle: 102.1
Step 74 | Time: 1.233s | Pos: (705.3, 361.1) | Vel: (268.1, 48.0) | Orient: -0.72 rad | AngVel: -0.60 | Speed: 272.4 | DistToTarget: 356.2 | Colliding: False | NearestObstacle: 103.2
Step 75 | Time: 1.250s | Pos: (709.8, 361.9) | Vel: (272.3, 43.6) | Orient: -0.73 rad | AngVel: -0.61 | Speed: 275.7 | DistToTarget: 353.3 | Colliding: False | NearestObstacle: 104.3
Step 76 | Time: 1.267s | Pos: (714.4, 362.5) | Vel: (275.7, 38.9) | Orient: -0.74 rad | AngVel: -0.61 | Speed: 278.5 | DistToTarget: 350.4 | Colliding: False | NearestObstacle: 105.6
Step 77 | Time: 1.283s | Pos: (719.0, 363.1) | Vel: (278.5, 34.1) | Orient: -0.75 rad | AngVel: -0.62 | Speed: 280.5 | DistToTarget: 347.4 | Colliding: False | NearestObstacle: 106.9
Step 78 | Time: 1.300s | Pos: (723.7, 363.6) | Vel: (280.5, 29.3) | Orient: -0.76 rad | AngVel: -0.62 | Speed: 282.0 | DistToTarget: 344.3 | Colliding: False | NearestObstacle: 108.3
Step 79 | Time: 1.317s | Pos: (728.4, 364.0) | Vel: (281.7, 24.5) | Orient: -0.77 rad | AngVel: -0.63 | Speed: 282.8 | DistToTarget: 341.2 | Colliding: False | NearestObstacle: 109.8
Step 80 | Time: 1.333s | Pos: (733.1, 364.3) | Vel: (282.2, 19.9) | Orient: -0.78 rad | AngVel: -0.63 | Speed: 282.9 | DistToTarget: 338.1 | Colliding: False | NearestObstacle: 110.7
Step 81 | Time: 1.350s | Pos: (737.8, 364.6) | Vel: (281.9, 15.6) | Orient: -0.79 rad | AngVel: -0.63 | Speed: 282.4 | DistToTarget: 335.0 | Colliding: False | NearestObstacle: 107.1
Step 82 | Time: 1.367s | Pos: (742.5, 364.8) | Vel: (281.0, 11.8) | Orient: -0.81 rad | AngVel: -0.63 | Speed: 281.2 | DistToTarget: 331.9 | Colliding: False | NearestObstacle: 103.5
Step 83 | Time: 1.383s | Pos: (747.1, 364.9) | Vel: (279.3, 8.6) | Orient: -0.82 rad | AngVel: -0.63 | Speed: 279.4 | DistToTarget: 328.8 | Colliding: False | NearestObstacle: 100.0
Step 84 | Time: 1.400s | Pos: (751.8, 365.0) | Vel: (277.0, 6.1) | Orient: -0.83 rad | AngVel: -0.63 | Speed: 277.1 | DistToTarget: 325.7 | Colliding: False | NearestObstacle: 96.5
Step 85 | Time: 1.417s | Pos: (756.3, 365.1) | Vel: (274.1, 4.4) | Orient: -0.84 rad | AngVel: -0.63 | Speed: 274.1 | DistToTarget: 322.7 | Colliding: False | NearestObstacle: 93.1
Step 86 | Time: 1.433s | Pos: (760.8, 365.2) | Vel: (270.7, 3.6) | Orient: -0.85 rad | AngVel: -0.64 | Speed: 270.7 | DistToTarget: 319.7 | Colliding: False | NearestObstacle: 89.9
Step 87 | Time: 1.450s | Pos: (765.3, 365.2) | Vel: (266.8, 4.0) | Orient: -0.86 rad | AngVel: -0.64 | Speed: 266.8 | DistToTarget: 316.8 | Colliding: False | NearestObstacle: 86.7
Step 88 | Time: 1.467s | Pos: (769.7, 365.3) | Vel: (262.6, 5.4) | Orient: -0.87 rad | AngVel: -0.64 | Speed: 262.6 | DistToTarget: 314.1 | Colliding: False | NearestObstacle: 83.8
Step 89 | Time: 1.483s | Pos: (774.0, 365.4) | Vel: (258.2, 8.1) | Orient: -0.88 rad | AngVel: -0.65 | Speed: 258.3 | DistToTarget: 311.4 | Colliding: False | NearestObstacle: 80.9
Step 90 | Time: 1.500s | Pos: (778.2, 365.6) | Vel: (253.7, 12.1) | Orient: -0.89 rad | AngVel: -0.65 | Speed: 254.0 | DistToTarget: 308.9 | Colliding: False | NearestObstacle: 78.3
Step 91 | Time: 1.517s | Pos: (782.3, 365.9) | Vel: (249.3, 17.4) | Orient: -0.90 rad | AngVel: -0.66 | Speed: 249.9 | DistToTarget: 306.5 | Colliding: False | NearestObstacle: 75.9
Step 92 | Time: 1.533s | Pos: (786.4, 366.3) | Vel: (245.1, 23.8) | Orient: -0.91 rad | AngVel: -0.67 | Speed: 246.3 | DistToTarget: 304.3 | Colliding: False | NearestObstacle: 73.7
