Step 56 | Time: 0.933s | Pos: (521.1, 378.9) | Vel: (43.7, 18.0) | Orient: 2.28 rad | AngVel: 0.19 | Speed: 47.2 | DistToTarget: 237.7 | Colliding: False | NearestObstacle: 61.0
Step 57 | Time: 0.950s | Pos: (522.1, 379.2) | Vel: (56.8, 19.4) | Orient: 2.28 rad | AngVel: 0.25 | Speed: 60.0 | DistToTarget: 238.1 | Colliding: False | NearestObstacle: 61.7
Step 58 | Time: 0.967s | Pos: (523.2, 379.6) | Vel: (64.7, 23.0) | Orient: 2.29 rad | AngVel: 0.30 | Speed: 68.7 | DistToTarget: 238.5 | Colliding: False | NearestObstacle: 62.4
Step 59 | Time: 0.983s | Pos: (524.3, 380.1) | Vel: (67.3, 28.8) | Orient: 2.29 rad | AngVel: 0.33 | Speed: 73.2 | DistToTarget: 238.9 | Colliding: False | NearestObstacle: 63.2
Step 60 | Time: 1.000s | Pos: (525.4, 380.7) | Vel: (65.0, 36.4) | Orient: 2.30 rad | AngVel: 0.35 | Speed: 74.5 | DistToTarget: 239.1 | Colliding: False | NearestObstacle: 63.9
Step 61 | Time: 1.017s | Pos: (526.3, 381.5) | Vel: (58.5, 45.4) | Orient: 2.30 rad | AngVel: 0.35 | Speed: 74.1 | DistToTarget: 239.2 | Colliding: False | NearestObstacle: 64.5
Step 62 | Time: 1.033s | Pos: (527.1, 382.4) | Vel: (48.7, 55.5) | Orient: 2.31 rad | AngVel: 0.34 | Speed: 73.8 | DistToTarget: 239.1 | Colliding: False | NearestObstacle: 64.8
Step 63 | Time: 1.050s | Pos: (527.7, 383.5) | Vel: (36.3, 66.1) | Orient: 2.32 rad | AngVel: 0.33 | Speed: 75.4 | DistToTarget: 238.7 | Colliding: False | NearestObstacle: 64.9
Step 64 | Time: 1.067s | Pos: (528.1, 384.8) | Vel: (22.3, 76.7) | Orient: 2.32 rad | AngVel: 0.31 | Speed: 79.9 | DistToTarget: 238.0 | Colliding: False | NearestObstacle: 64.8
Step 65 | Time: 1.083s | Pos: (528.2, 386.2) | Vel: (7.5, 86.7) | Orient: 2.33 rad | AngVel: 0.29 | Speed: 87.0 | DistToTarget: 237.0 | Colliding: False | NearestObstacle: 64.3
Step 66 | Time: 1.100s | Pos: (528.1, 387.8) | Vel: (-7.0, 95.6) | Orient: 2.33 rad | AngVel: 0.26 | Speed: 95.9 | DistToTarget: 235.8 | Colliding: False | NearestObstacle: 63.6
Step 67 | Time: 1.117s | Pos: (527.8, 389.5) | Vel: (-20.3, 103.0) | Orient: 2.33 rad | AngVel: 0.24 | Speed: 104.9 | DistToTarget: 234.3 | Colliding: False | NearestObstacle: 62.7
Step 68 | Time: 1.133s | Pos: (527.3, 391.3) | Vel: (-31.2, 108.6) | Orient: 2.34 rad | AngVel: 0.22 | Speed: 113.0 | DistToTarget: 232.7 | Colliding: False | NearestObstacle: 61.6
Step 69 | Time: 1.150s | Pos: (526.6, 393.2) | Vel: (-39.0, 112.8) | Orient: 2.34 rad | AngVel: 0.20 | Speed: 119.3 | DistToTarget: 230.8 | Colliding: False | NearestObstacle: 60.4
Step 70 | Time: 1.167s | Pos: (525.9, 395.1) | Vel: (-43.3, 115.7) | Orient: 2.34 rad | AngVel: 0.19 | Speed: 123.5 | DistToTarget: 229.0 | Colliding: False | NearestObstacle: 59.2
Step 71 | Time: 1.183s | Pos: (525.2, 397.1) | Vel: (-43.9, 117.9) | Orient: 2.35 rad | AngVel: 0.19 | Speed: 125.8 | DistToTarget: 227.0 | Colliding: False | NearestObstacle: 57.9
Step 72 | Time: 1.200s | Pos: (524.5, 399.1) | Vel: (-41.0, 119.9) | Orient: 2.35 rad | AngVel: 0.21 | Speed: 126.7 | DistToTarget: 225.1 | Colliding: False | NearestObstacle: 56.7
Step 73 | Time: 1.217s | Pos: (523.9, 401.1) | Vel: (-35.2, 122.1) | Orient: 2.35 rad | AngVel: 0.23 | Speed: 127.1 | DistToTarget: 223.3 | Colliding: False | NearestObstacle: 55.7
Step 74 | Time: 1.233s | Pos: (523.4, 403.2) | Vel: (-27.3, 125.0) | Orient: 2.36 rad | AngVel: 0.27 | Speed: 127.9 | DistToTarget: 221.5 | Colliding: False | NearestObstacle: 54.8
Step 75 | Time: 1.250s | Pos: (523.1, 405.4) | Vel: (-18.6, 128.8) | Orient: 2.36 rad | AngVel: 0.32 | Speed: 130.1 | DistToTarget: 219.8 | Colliding: False | NearestObstacle: 54.1
Step 76 | Time: 1.267s | Pos: (523.0, 407.6) | Vel: (-10.4, 133.6) | Orient: 2.37 rad | AngVel: 0.38 | Speed: 134.0 | DistToTarget: 218.1 | Colliding: False | NearestObstacle: 53.5
Step 77 | Time: 1.283s | Pos: (522.9, 409.9) | Vel: (-4.0, 139.5) | Orient: 2.38 rad | AngVel: 0.44 | Speed: 139.5 | DistToTarget: 216.4 | Colliding: False | NearestObstacle: 53.2
Step 78 | Time: 1.300s | Pos: (522.9, 412.4) | Vel: (-0.9, 146.2) | Orient: 2.39 rad | AngVel: 0.50 | Speed: 146.2 | DistToTarget: 214.8 | Colliding: False | NearestObstacle: 52.9
Step 79 | Time: 1.317s | Pos: (522.8, 414.9) | Vel: (-2.0, 153.8) | Orient: 2.40 rad | AngVel: 0.55 | Speed: 153.9 | DistToTarget: 213.0 | Colliding: False | NearestObstacle: 52.7
Step 80 | Time: 1.333s | Pos: (522.7, 417.6) | Vel: (-7.8, 162.3) | Orient: 2.41 rad | AngVel: 0.58 | Speed: 162.5 | DistToTarget: 211.1 | Colliding: False | NearestObstacle: 52.5
Step 81 | Time: 1.350s | Pos: (522.4, 420.5) | Vel: (-18.1, 171.8) | Orient: 2.41 rad | AngVel: 0.60 | Speed: 172.7 | DistToTarget: 208.9 | Colliding: False | NearestObstacle: 52.2
Step 82 | Time: 1.367s | Pos: (521.9, 423.5) | Vel: (-32.3, 182.6) | Orient: 2.42 rad | AngVel: 0.60 | Speed: 185.5 | DistToTarget: 206.5 | Colliding: False | NearestObstacle: 51.7
Step 83 | Time: 1.383s | Pos: (521.1, 426.8) | Vel: (-48.9, 195.4) | Orient: 2.43 rad | AngVel: 0.59 | Speed: 201.4 | DistToTarget: 203.8 | Colliding: False | NearestObstacle: 51.2
Step 84 | Time: 1.400s | Pos: (520.0, 430.3) | Vel: (-66.6, 210.8) | Orient: 2.44 rad | AngVel: 0.58 | Speed: 221.1 | DistToTarget: 200.7 | Colliding: False | NearestObstacle: 50.5
Step 85 | Time: 1.417s | Pos: (518.6, 434.1) | Vel: (-83.6, 229.6) | Orient: 2.45 rad | AngVel: 0.59 | Speed: 244.4 | DistToTarget: 197.1 | Colliding: False | NearestObstacle: 49.8
Step 86 | Time: 1.433s | Pos: (516.9, 438.3) | Vel: (-99.0, 252.6) | Orient: 2.46 rad | AngVel: 0.61 | Speed: 271.3 | DistToTarget: 193.2 | Colliding: False | NearestObstacle: 49.2
Step 87 | Time: 1.450s | Pos: (515.0, 443.0) | Vel: (-112.6, 280.1) | Orient: 2.48 rad | AngVel: 0.68 | Speed: 301.9 | DistToTarget: 188.8 | Colliding: False | NearestObstacle: 48.8
Step 88 | Time: 1.467s | Pos: (512.9, 448.2) | Vel: (-125.6, 311.3) | Orient: 2.49 rad | AngVel: 0.79 | Speed: 335.7 | DistToTarget: 184.0 | Colliding: False | NearestObstacle: 48.7
Step 89 | Time: 1.483s | Pos: (510.6, 453.9) | Vel: (-139.4, 344.6) | Orient: 2.50 rad | AngVel: 0.94 | Speed: 371.7 | DistToTarget: 178.7 | Colliding: False | NearestObstacle: 49.2
Step 90 | Time: 1.500s | Pos: (508.0, 460.2) | Vel: (-155.7, 376.7) | Orient: 2.52 rad | AngVel: 1.13 | Speed: 407.6 | DistToTarget: 173.0 | Colliding: False | NearestObstacle: 50.2
Step 91 | Time: 1.517s | Pos: (505.1, 466.9) | Vel: (-174.7, 403.8) | Orient: 2.55 rad | AngVel: 1.34 | Speed: 440.0 | DistToTarget: 166.8 | Colliding: False | NearestObstacle: 51.8
Step 92 | Time: 1.533s | Pos: (501.8, 474.0) | Vel: (-195.6, 422.6) | Orient: 2.57 rad | AngVel: 1.53 | Speed: 465.6 | DistToTarget: 160.2 | Colliding: False | NearestObstacle: 54.1
Step 93 | Time: 1.550s | Pos: (498.2, 481.2) | Vel: (-216.6, 431.0) | Orient: 2.60 rad | AngVel: 1.70 | Speed: 482.3 | DistToTarget: 153.4 | Colliding: False | NearestObstacle: 56.9
Step 94 | Time: 1.567s | Pos: (494.3, 488.3) | Vel: (-236.3, 429.0) | Orient: 2.63 rad | AngVel: 1.82 | Speed: 489.8 | DistToTarget: 146.5 | Colliding: False | NearestObstacle: 60.2
Step 95 | Time: 1.583s | Pos: (490.1, 495.3) | Vel: (-254.0, 418.5) | Orient: 2.66 rad | AngVel: 1.89 | Speed: 489.6 | DistToTarget: 139.4 | Colliding: False | NearestObstacle: 63.9
Step 96 | Time: 1.600s | Pos: (485.6, 502.0) | Vel: (-270.0, 401.7) | Orient: 2.69 rad | AngVel: 1.91 | Speed: 484.0 | DistToTarget: 132.4 | Colliding: False | NearestObstacle: 67.7
Step 97 | Time: 1.617s | Pos: (480.8, 508.3) | Vel: (-284.4, 380.8) | Orient: 2.72 rad | AngVel: 1.89 | Speed: 475.3 | DistToTarget: 125.5 | Colliding: False | NearestObstacle: 71.7
Step 98 | Time: 1.633s | Pos: (475.9, 514.3) | Vel: (-297.7, 357.6) | Orient: 2.76 rad | AngVel: 1.84 | Speed: 465.3 | DistToTarget: 118.6 | Colliding: False | NearestObstacle: 75.7
Step 99 | Time: 1.650s | Pos: (470.7, 519.9) | Vel: (-309.9, 333.3) | Orient: 2.79 rad | AngVel: 1.78 | Speed: 455.1 | DistToTarget: 111.7 | Colliding: False | NearestObstacle: 79.6
Step 100 | Time: 1.667s | Pos: (465.3, 525.0) | Vel: (-321.3, 308.6) | Orient: 2.81 rad | AngVel: 1.71 | Speed: 445.5 | DistToTarget: 105.0 | Colliding: False | NearestObstacle: 83.6
