Step 71 | Time: 1.183s | Pos: (669.2, 556.9) | Vel: (174.8, 234.6) | Orient: 0.28 rad | AngVel: -0.50 | Speed: 292.6 | DistToTarget: 352.8 | Colliding: False | NearestObstacle: 125.0
Step 72 | Time: 1.200s | Pos: (672.1, 560.7) | Vel: (179.0, 231.7) | Orient: 0.27 rad | AngVel: -0.50 | Speed: 292.8 | DistToTarget: 348.9 | Colliding: False | NearestObstacle: 126.3
Step 73 | Time: 1.217s | Pos: (675.2, 564.5) | Vel: (182.8, 228.6) | Orient: 0.26 rad | AngVel: -0.50 | Speed: 292.7 | DistToTarget: 345.0 | Colliding: False | NearestObstacle: 127.7
Step 74 | Time: 1.233s | Pos: (678.3, 568.3) | Vel: (186.1, 225.4) | Orient: 0.25 rad | AngVel: -0.50 | Speed: 292.3 | DistToTarget: 341.0 | Colliding: False | NearestObstacle: 129.1
Step 75 | Time: 1.250s | Pos: (681.4, 572.0) | Vel: (189.0, 222.0) | Orient: 0.25 rad | AngVel: -0.50 | Speed: 291.6 | DistToTarget: 337.0 | Colliding: False | NearestObstacle: 130.6
Step 76 | Time: 1.267s | Pos: (684.6, 575.6) | Vel: (191.5, 218.6) | Orient: 0.24 rad | AngVel: -0.50 | Speed: 290.6 | DistToTarget: 333.1 | Colliding: False | NearestObstacle: 132.1
Step 77 | Time: 1.283s | Pos: (687.9, 579.2) | Vel: (193.4, 215.1) | Orient: 0.23 rad | AngVel: -0.50 | Speed: 289.3 | DistToTarget: 329.1 | Colliding: False | NearestObstacle: 133.7
Step 78 | Time: 1.300s | Pos: (691.1, 582.7) | Vel: (194.7, 211.6) | Orient: 0.22 rad | AngVel: -0.50 | Speed: 287.6 | DistToTarget: 325.2 | Colliding: False | NearestObstacle: 135.3
Step 79 | Time: 1.317s | Pos: (694.4, 586.2) | Vel: (195.5, 208.2) | Orient: 0.21 rad | AngVel: -0.50 | Speed: 285.6 | DistToTarget: 321.2 | Colliding: False | NearestObstacle: 137.0
Step 80 | Time: 1.333s | Pos: (697.6, 589.6) | Vel: (195.6, 204.8) | Orient: 0.20 rad | AngVel: -0.50 | Speed: 283.2 | DistToTarget: 317.3 | Colliding: False | NearestObstacle: 133.5
Step 81 | Time: 1.350s | Pos: (700.9, 593.0) | Vel: (195.0, 201.5) | Orient: 0.20 rad | AngVel: -0.50 | Speed: 280.4 | DistToTarget: 313.5 | Colliding: False | NearestObstacle: 129.6
Step 82 | Time: 1.367s | Pos: (704.1, 596.3) | Vel: (193.7, 198.3) | Orient: 0.19 rad | AngVel: -0.50 | Speed: 277.2 | DistToTarget: 309.7 | Colliding: False | NearestObstacle: 125.8
Step 83 | Time: 1.383s | Pos: (707.3, 599.5) | Vel: (191.6, 195.4) | Orient: 0.18 rad | AngVel: -0.51 | Speed: 273.7 | DistToTarget: 305.9 | Colliding: False | NearestObstacle: 122.1
Step 84 | Time: 1.400s | Pos: (710.4, 602.8) | Vel: (188.8, 192.7) | Orient: 0.17 rad | AngVel: -0.51 | Speed: 269.8 | DistToTarget: 302.3 | Colliding: False | NearestObstacle: 118.4
Step 85 | Time: 1.417s | Pos: (713.5, 605.9) | Vel: (185.1, 190.4) | Orient: 0.16 rad | AngVel: -0.52 | Speed: 265.5 | DistToTarget: 298.7 | Colliding: False | NearestObstacle: 114.9
Step 86 | Time: 1.433s | Pos: (716.5, 609.1) | Vel: (180.5, 188.6) | Orient: 0.15 rad | AngVel: -0.53 | Speed: 261.0 | DistToTarget: 295.2 | Colliding: False | NearestObstacle: 111.6
Step 87 | Time: 1.450s | Pos: (719.4, 612.2) | Vel: (175.1, 187.2) | Orient: 0.14 rad | AngVel: -0.54 | Speed: 256.3 | DistToTarget: 291.9 | Colliding: False | NearestObstacle: 108.3
Step 88 | Time: 1.467s | Pos: (722.3, 615.3) | Vel: (168.7, 186.4) | Orient: 0.14 rad | AngVel: -0.55 | Speed: 251.4 | DistToTarget: 288.7 | Colliding: False | NearestObstacle: 105.3
Step 89 | Time: 1.483s | Pos: (724.9, 618.4) | Vel: (161.6, 186.3) | Orient: 0.13 rad | AngVel: -0.56 | Speed: 246.6 | DistToTarget: 285.6 | Colliding: False | NearestObstacle: 102.4
Step 90 | Time: 1.500s | Pos: (727.5, 621.5) | Vel: (153.6, 186.9) | Orient: 0.12 rad | AngVel: -0.58 | Speed: 241.9 | DistToTarget: 282.7 | Colliding: False | NearestObstacle: 99.7
Step 91 | Time: 1.517s | Pos: (729.9, 624.7) | Vel: (144.9, 188.4) | Orient: 0.11 rad | AngVel: -0.60 | Speed: 237.7 | DistToTarget: 279.9 | Colliding: False | NearestObstacle: 97.3
Step 92 | Time: 1.533s | Pos: (732.2, 627.8) | Vel: (135.6, 190.7) | Orient: 0.10 rad | AngVel: -0.62 | Speed: 234.0 | DistToTarget: 277.4 | Colliding: False | NearestObstacle: 95.1
Step 93 | Time: 1.550s | Pos: (734.3, 631.1) | Vel: (125.9, 194.0) | Orient: 0.09 rad | AngVel: -0.65 | Speed: 231.3 | DistToTarget: 275.0 | Colliding: False | NearestObstacle: 93.1
Step 94 | Time: 1.567s | Pos: (736.2, 634.4) | Vel: (116.1, 198.1) | Orient: 0.07 rad | AngVel: -0.68 | Speed: 229.6 | DistToTarget: 272.8 | Colliding: False | NearestObstacle: 91.5
Step 95 | Time: 1.583s | Pos: (738.0, 637.8) | Vel: (106.5, 203.0) | Orient: 0.06 rad | AngVel: -0.71 | Speed: 229.2 | DistToTarget: 270.8 | Colliding: False | NearestObstacle: 90.1
Step 96 | Time: 1.600s | Pos: (739.6, 641.2) | Vel: (97.4, 208.6) | Orient: 0.05 rad | AngVel: -0.74 | Speed: 230.2 | DistToTarget: 269.0 | Colliding: False | NearestObstacle: 88.9
Step 97 | Time: 1.617s | Pos: (741.1, 644.8) | Vel: (89.2, 214.6) | Orient: 0.04 rad | AngVel: -0.78 | Speed: 232.4 | DistToTarget: 267.4 | Colliding: False | NearestObstacle: 88.1
Step 98 | Time: 1.633s | Pos: (742.5, 648.5) | Vel: (82.5, 220.8) | Orient: 0.02 rad | AngVel: -0.82 | Speed: 235.7 | DistToTarget: 265.9 | Colliding: False | NearestObstacle: 87.5
Step 99 | Time: 1.650s | Pos: (743.8, 652.3) | Vel: (77.6, 227.0) | Orient: 0.01 rad | AngVel: -0.85 | Speed: 239.9 | DistToTarget: 264.6 | Colliding: False | NearestObstacle: 87.2
Step 100 | Time: 1.667s | Pos: (745.0, 656.2) | Vel: (74.8, 233.0) | Orient: -0.01 rad | AngVel: -0.89 | Speed: 244.7 | DistToTarget: 263.3 | Colliding: False | NearestObstacle: 87.1
