Step 86 | Time: 1.433s | Pos: (623.6, 263.0) | Vel: (-70.4, -115.3) | Orient: 2.78 rad | AngVel: -0.35 | Speed: 135.1 | DistToTarget: 375.5 | Colliding: False | NearestObstacle: 81.4
Step 87 | Time: 1.450s | Pos: (622.4, 261.0) | Vel: (-72.8, -120.3) | Orient: 2.77 rad | AngVel: -0.37 | Speed: 140.6 | DistToTarget: 375.1 | Colliding: False | NearestObstacle: 81.1
Step 88 | Time: 1.467s | Pos: (621.1, 258.9) | Vel: (-75.7, -125.5) | Orient: 2.77 rad | AngVel: -0.38 | Speed: 146.6 | DistToTarget: 374.7 | Colliding: False | NearestObstacle: 80.7
Step 89 | Time: 1.483s | Pos: (619.8, 256.7) | Vel: (-79.2, -130.7) | Orient: 2.76 rad | AngVel: -0.40 | Speed: 152.8 | DistToTarget: 374.2 | Colliding: False | NearestObstacle: 80.5
Step 90 | Time: 1.500s | Pos: (618.4, 254.5) | Vel: (-83.3, -135.8) | Orient: 2.75 rad | AngVel: -0.42 | Speed: 159.3 | DistToTarget: 373.8 | Colliding: False | NearestObstacle: 80.2
Step 91 | Time: 1.517s | Pos: (616.9, 252.1) | Vel: (-88.0, -140.9) | Orient: 2.75 rad | AngVel: -0.44 | Speed: 166.1 | DistToTarget: 373.3 | Colliding: False | NearestObstacle: 80.0
Step 92 | Time: 1.533s | Pos: (615.4, 249.7) | Vel: (-93.5, -145.8) | Orient: 2.74 rad | AngVel: -0.46 | Speed: 173.2 | DistToTarget: 372.9 | Colliding: False | NearestObstacle: 79.8
Step 93 | Time: 1.550s | Pos: (613.7, 247.2) | Vel: (-99.6, -150.5) | Orient: 2.73 rad | AngVel: -0.48 | Speed: 180.5 | DistToTarget: 372.3 | Colliding: False | NearestObstacle: 79.7
Step 94 | Time: 1.567s | Pos: (611.9, 244.6) | Vel: (-106.5, -154.9) | Orient: 2.72 rad | AngVel: -0.50 | Speed: 188.0 | DistToTarget: 371.7 | Colliding: False | NearestObstacle: 79.6
Step 95 | Time: 1.583s | Pos: (610.0, 242.0) | Vel: (-114.0, -159.0) | Orient: 2.71 rad | AngVel: -0.52 | Speed: 195.7 | DistToTarget: 371.1 | Colliding: False | NearestObstacle: 79.5
Step 96 | Time: 1.600s | Pos: (608.0, 239.2) | Vel: (-122.2, -162.8) | Orient: 2.71 rad | AngVel: -0.54 | Speed: 203.5 | DistToTarget: 370.4 | Colliding: False | NearestObstacle: 79.4
Step 97 | Time: 1.617s | Pos: (605.8, 236.5) | Vel: (-131.0, -166.1) | Orient: 2.70 rad | AngVel: -0.56 | Speed: 211.5 | DistToTarget: 369.6 | Colliding: False | NearestObstacle: 79.4
Step 98 | Time: 1.633s | Pos: (603.5, 233.7) | Vel: (-140.5, -168.9) | Orient: 2.69 rad | AngVel: -0.58 | Speed: 219.7 | DistToTarget: 368.7 | Colliding: False | NearestObstacle: 79.4
Step 99 | Time: 1.650s | Pos: (601.0, 230.8) | Vel: (-150.5, -171.2) | Orient: 2.68 rad | AngVel: -0.60 | Speed: 228.0 | DistToTarget: 367.8 | Colliding: False | NearestObstacle: 79.4
Step 100 | Time: 1.667s | Pos: (598.3, 227.9) | Vel: (-161.0, -173.0) | Orient: 2.67 rad | AngVel: -0.62 | Speed: 236.3 | DistToTarget: 366.7 | Colliding: False | NearestObstacle: 79.5
Step 101 | Time: 1.683s | Pos: (595.4, 225.0) | Vel: (-172.1, -174.1) | Orient: 2.66 rad | AngVel: -0.64 | Speed: 244.8 | DistToTarget: 365.5 | Colliding: False | NearestObstacle: 79.6
Step 102 | Time: 1.700s | Pos: (592.4, 222.1) | Vel: (-183.5, -174.6) | Orient: 2.64 rad | AngVel: -0.66 | Speed: 253.3 | DistToTarget: 364.2 | Colliding: False | NearestObstacle: 79.7
Step 103 | Time: 1.717s | Pos: (589.1, 219.2) | Vel: (-195.4, -174.4) | Orient: 2.63 rad | AngVel: -0.68 | Speed: 261.9 | DistToTarget: 362.7 | Colliding: False | NearestObstacle: 79.9
Step 104 | Time: 1.733s | Pos: (585.6, 216.3) | Vel: (-207.6, -173.5) | Orient: 2.62 rad | AngVel: -0.70 | Speed: 270.5 | DistToTarget: 361.1 | Colliding: False | NearestObstacle: 80.1
Step 105 | Time: 1.750s | Pos: (582.0, 213.4) | Vel: (-220.1, -171.7) | Orient: 2.61 rad | AngVel: -0.72 | Speed: 279.2 | DistToTarget: 359.4 | Colliding: False | NearestObstacle: 80.4
