Step 52 | Time: 0.867s | Pos: (699.1, 358.5) | Vel: (98.6, -16.5) | Orient: 0.27 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 429.1 | Colliding: False | NearestObstacle: 56.6
Step 53 | Time: 0.883s | Pos: (700.7, 358.2) | Vel: (98.4, -17.7) | Orient: 0.24 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 427.5 | Colliding: False | NearestObstacle: 55.1
Step 54 | Time: 0.900s | Pos: (702.4, 357.9) | Vel: (98.2, -19.0) | Orient: 0.20 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 425.8 | Colliding: False | NearestObstacle: 53.6
Step 55 | Time: 0.917s | Pos: (704.0, 357.6) | Vel: (97.9, -20.3) | Orient: 0.17 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 424.2 | Colliding: False | NearestObstacle: 52.1
Step 56 | Time: 0.933s | Pos: (705.6, 357.2) | Vel: (97.6, -21.8) | Orient: 0.14 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 422.5 | Colliding: False | NearestObstacle: 50.7
Step 57 | Time: 0.950s | Pos: (707.2, 356.8) | Vel: (97.2, -23.3) | Orient: 0.10 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 420.9 | Colliding: False | NearestObstacle: 49.2
Step 58 | Time: 0.967s | Pos: (708.9, 356.4) | Vel: (96.8, -25.0) | Orient: 0.07 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 419.2 | Colliding: False | NearestObstacle: 47.8
Step 59 | Time: 0.983s | Pos: (710.5, 355.9) | Vel: (96.3, -26.9) | Orient: 0.04 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 417.6 | Colliding: False | NearestObstacle: 46.4
Step 60 | Time: 1.000s | Pos: (712.1, 355.5) | Vel: (95.7, -28.9) | Orient: 0.00 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 416.0 | Colliding: False | NearestObstacle: 45.1
Step 61 | Time: 1.017s | Pos: (713.6, 354.9) | Vel: (95.0, -31.1) | Orient: -0.03 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 414.3 | Colliding: False | NearestObstacle: 43.8
Step 62 | Time: 1.033s | Pos: (715.2, 354.4) | Vel: (94.2, -33.4) | Orient: -0.06 rad | AngVel: -1.97 | Speed: 100.0 | DistToTarget: 412.7 | Colliding: False | NearestObstacle: 42.5
Step 63 | Time: 1.050s | Pos: (716.8, 353.8) | Vel: (93.3, -36.0) | Orient: -0.09 rad | AngVel: -1.39 | Speed: 100.0 | DistToTarget: 411.1 | Colliding: False | NearestObstacle: 41.2
Step 64 | Time: 1.067s | Pos: (718.3, 353.1) | Vel: (92.2, -38.7) | Orient: -0.10 rad | AngVel: -0.65 | Speed: 100.0 | DistToTarget: 409.5 | Colliding: False | NearestObstacle: 40.0
Step 65 | Time: 1.083s | Pos: (719.8, 352.4) | Vel: (90.9, -41.6) | Orient: -0.10 rad | AngVel: -0.03 | Speed: 100.0 | DistToTarget: 408.0 | Colliding: False | NearestObstacle: 38.9
Step 66 | Time: 1.100s | Pos: (721.3, 351.7) | Vel: (89.5, -44.7) | Orient: -0.09 rad | AngVel: 0.36 | Speed: 100.0 | DistToTarget: 406.4 | Colliding: False | NearestObstacle: 37.8
Step 67 | Time: 1.117s | Pos: (722.8, 350.9) | Vel: (87.8, -47.9) | Orient: -0.08 rad | AngVel: 0.51 | Speed: 100.0 | DistToTarget: 404.9 | Colliding: False | NearestObstacle: 36.8
Step 68 | Time: 1.133s | Pos: (724.2, 350.0) | Vel: (85.9, -51.2) | Orient: -0.07 rad | AngVel: 0.48 | Speed: 100.0 | DistToTarget: 403.4 | Colliding: False | NearestObstacle: 35.9
Step 69 | Time: 1.150s | Pos: (725.6, 349.1) | Vel: (83.8, -54.6) | Orient: -0.07 rad | AngVel: 0.37 | Speed: 100.0 | DistToTarget: 402.0 | Colliding: False | NearestObstacle: 35.1
Step 70 | Time: 1.167s | Pos: (727.0, 348.2) | Vel: (81.5, -58.0) | Orient: -0.06 rad | AngVel: 0.24 | Speed: 100.0 | DistToTarget: 400.6 | Colliding: False | NearestObstacle: 34.3
Step 71 | Time: 1.183s | Pos: (728.3, 347.2) | Vel: (79.0, -61.4) | Orient: -0.06 rad | AngVel: 0.14 | Speed: 100.0 | DistToTarget: 399.2 | Colliding: False | NearestObstacle: 33.7
Step 72 | Time: 1.200s | Pos: (729.5, 346.1) | Vel: (76.3, -64.6) | Orient: -0.06 rad | AngVel: 0.09 | Speed: 100.0 | DistToTarget: 397.8 | Colliding: False | NearestObstacle: 33.1
Step 73 | Time: 1.217s | Pos: (730.8, 344.9) | Vel: (73.7, -67.6) | Orient: -0.06 rad | AngVel: 0.08 | Speed: 100.0 | DistToTarget: 396.5 | Colliding: False | NearestObstacle: 32.6
Step 74 | Time: 1.233s | Pos: (732.0, 343.8) | Vel: (71.0, -70.4) | Orient: -0.06 rad | AngVel: 0.10 | Speed: 100.0 | DistToTarget: 395.3 | Colliding: False | NearestObstacle: 32.3
Step 75 | Time: 1.250s | Pos: (733.1, 342.6) | Vel: (68.4, -72.9) | Orient: -0.05 rad | AngVel: 0.14 | Speed: 100.0 | DistToTarget: 394.1 | Colliding: False | NearestObstacle: 32.0
Step 76 | Time: 1.267s | Pos: (734.2, 341.3) | Vel: (66.1, -75.1) | Orient: -0.05 rad | AngVel: 0.17 | Speed: 100.0 | DistToTarget: 392.9 | Colliding: False | NearestObstacle: 31.8
Step 77 | Time: 1.283s | Pos: (735.3, 340.0) | Vel: (64.0, -76.8) | Orient: -0.05 rad | AngVel: 0.19 | Speed: 100.0 | DistToTarget: 391.8 | Colliding: False | NearestObstacle: 31.7
Step 78 | Time: 1.300s | Pos: (736.3, 338.7) | Vel: (62.3, -78.3) | Orient: -0.05 rad | AngVel: 0.21 | Speed: 100.0 | DistToTarget: 390.7 | Colliding: False | NearestObstacle: 31.7
Step 79 | Time: 1.317s | Pos: (737.3, 337.4) | Vel: (60.9, -79.3) | Orient: -0.04 rad | AngVel: 0.22 | Speed: 100.0 | DistToTarget: 389.6 | Colliding: False | NearestObstacle: 31.8
Step 80 | Time: 1.333s | Pos: (738.3, 336.1) | Vel: (59.9, -80.0) | Orient: -0.04 rad | AngVel: 0.22 | Speed: 100.0 | DistToTarget: 388.6 | Colliding: False | NearestObstacle: 31.9
Step 81 | Time: 1.350s | Pos: (739.3, 334.7) | Vel: (59.4, -80.5) | Orient: -0.03 rad | AngVel: 0.21 | Speed: 100.0 | DistToTarget: 387.5 | Colliding: False | NearestObstacle: 32.1
Step 82 | Time: 1.367s | Pos: (740.3, 333.4) | Vel: (59.2, -80.6) | Orient: -0.03 rad | AngVel: 0.21 | Speed: 100.0 | DistToTarget: 386.5 | Colliding: False | NearestObstacle: 32.3
Step 83 | Time: 1.383s | Pos: (741.3, 332.0) | Vel: (59.5, -80.4) | Orient: -0.03 rad | AngVel: 0.21 | Speed: 100.0 | DistToTarget: 385.5 | Colliding: False | NearestObstacle: 32.5
Step 84 | Time: 1.400s | Pos: (742.3, 330.7) | Vel: (60.0, -80.0) | Orient: -0.02 rad | AngVel: 0.20 | Speed: 100.0 | DistToTarget: 384.4 | Colliding: False | NearestObstacle: 32.8
Step 85 | Time: 1.417s | Pos: (743.3, 329.4) | Vel: (60.9, -79.3) | Orient: -0.02 rad | AngVel: 0.20 | Speed: 100.0 | DistToTarget: 383.4 | Colliding: False | NearestObstacle: 33.1
Step 86 | Time: 1.433s | Pos: (744.3, 328.1) | Vel: (62.0, -78.5) | Orient: -0.02 rad | AngVel: 0.20 | Speed: 100.0 | DistToTarget: 382.3 | Colliding: False | NearestObstacle: 33.4
Step 87 | Time: 1.450s | Pos: (745.4, 326.8) | Vel: (63.3, -77.4) | Orient: -0.01 rad | AngVel: 0.20 | Speed: 100.0 | DistToTarget: 381.3 | Colliding: False | NearestObstacle: 33.7
Step 88 | Time: 1.467s | Pos: (746.5, 325.5) | Vel: (64.7, -76.2) | Orient: -0.01 rad | AngVel: 0.20 | Speed: 100.0 | DistToTarget: 380.2 | Colliding: False | NearestObstacle: 34.0
Step 89 | Time: 1.483s | Pos: (747.6, 324.3) | Vel: (66.3, -74.9) | Orient: -0.01 rad | AngVel: 0.20 | Speed: 100.0 | DistToTarget: 379.1 | Colliding: False | NearestObstacle: 34.3
Step 90 | Time: 1.500s | Pos: (748.7, 323.0) | Vel: (67.9, -73.4) | Orient: -0.00 rad | AngVel: 0.19 | Speed: 100.0 | DistToTarget: 377.9 | Colliding: False | NearestObstacle: 34.7
Step 91 | Time: 1.517s | Pos: (749.9, 321.8) | Vel: (69.5, -71.9) | Orient: -0.00 rad | AngVel: 0.19 | Speed: 100.0 | DistToTarget: 376.8 | Colliding: False | NearestObstacle: 35.0
Step 92 | Time: 1.533s | Pos: (751.1, 320.7) | Vel: (71.2, -70.2) | Orient: 0.00 rad | AngVel: 0.19 | Speed: 100.0 | DistToTarget: 375.6 | Colliding: False | NearestObstacle: 35.3
Step 93 | Time: 1.550s | Pos: (752.3, 319.5) | Vel: (72.8, -68.6) | Orient: 0.01 rad | AngVel: 0.18 | Speed: 100.0 | DistToTarget: 374.4 | Colliding: False | NearestObstacle: 35.6
Step 94 | Time: 1.567s | Pos: (753.5, 318.4) | Vel: (74.4, -66.8) | Orient: 0.01 rad | AngVel: 0.18 | Speed: 100.0 | DistToTarget: 373.1 | Colliding: False | NearestObstacle: 36.0
Step 95 | Time: 1.583s | Pos: (754.8, 317.3) | Vel: (75.9, -65.1) | Orient: 0.01 rad | AngVel: 0.18 | Speed: 100.0 | DistToTarget: 371.9 | Colliding: False | NearestObstacle: 36.3
Step 96 | Time: 1.600s | Pos: (756.1, 316.3) | Vel: (77.4, -63.4) | Orient: 0.01 rad | AngVel: 0.17 | Speed: 100.0 | DistToTarget: 370.6 | Colliding: False | NearestObstacle: 36.6
Step 97 | Time: 1.617s | Pos: (757.4, 315.3) | Vel: (78.8, -61.6) | Orient: 0.02 rad | AngVel: 0.17 | Speed: 100.0 | DistToTarget: 369.3 | Colliding: False | NearestObstacle: 36.9
Step 98 | Time: 1.633s | Pos: (758.7, 314.3) | Vel: (80.1, -59.9) | Orient: 0.02 rad | AngVel: 0.17 | Speed: 100.0 | DistToTarget: 368.0 | Colliding: False | NearestObstacle: 37.2
Step 99 | Time: 1.650s | Pos: (760.1, 313.3) | Vel: (81.3, -58.2) | Orient: 0.02 rad | AngVel: 0.16 | Speed: 100.0 | DistToTarget: 366.6 | Colliding: False | NearestObstacle: 37.5
Step 100 | Time: 1.667s | Pos: (761.4, 312.3) | Vel: (82.5, -56.5) | Orient: 0.02 rad | AngVel: 0.16 | Speed: 100.0 | DistToTarget: 365.3 | Colliding: False | NearestObstacle: 37.9
Step 101 | Time: 1.683s | Pos: (762.8, 311.4) | Vel: (83.6, -54.8) | Orient: 0.03 rad | AngVel: 0.16 | Speed: 100.0 | DistToTarget: 363.9 | Colliding: False | NearestObstacle: 38.2
Step 102 | Time: 1.700s | Pos: (764.2, 310.5) | Vel: (84.7, -53.2) | Orient: 0.03 rad | AngVel: 0.15 | Speed: 100.0 | DistToTarget: 362.5 | Colliding: False | NearestObstacle: 38.5
Step 103 | Time: 1.717s | Pos: (765.7, 309.7) | Vel: (85.6, -51.6) | Orient: 0.03 rad | AngVel: 0.15 | Speed: 100.0 | DistToTarget: 361.1 | Colliding: False | NearestObstacle: 38.8
Step 104 | Time: 1.733s | Pos: (767.1, 308.8) | Vel: (86.6, -50.1) | Orient: 0.03 rad | AngVel: 0.15 | Speed: 100.0 | DistToTarget: 359.7 | Colliding: False | NearestObstacle: 39.2
Step 105 | Time: 1.750s | Pos: (768.6, 308.0) | Vel: (87.4, -48.6) | Orient: 0.04 rad | AngVel: 0.14 | Speed: 100.0 | DistToTarget: 358.3 | Colliding: False | NearestObstacle: 39.5
Step 106 | Time: 1.767s | Pos: (770.0, 307.3) | Vel: (88.2, -47.1) | Orient: 0.04 rad | AngVel: 0.14 | Speed: 100.0 | DistToTarget: 356.9 | Colliding: False | NearestObstacle: 39.8
Step 107 | Time: 1.783s | Pos: (771.5, 306.5) | Vel: (89.0, -45.6) | Orient: 0.04 rad | AngVel: 0.14 | Speed: 100.0 | DistToTarget: 355.4 | Colliding: False | NearestObstacle: 40.2
Step 108 | Time: 1.800s | Pos: (773.0, 305.8) | Vel: (89.7, -44.2) | Orient: 0.04 rad | AngVel: 0.14 | Speed: 100.0 | DistToTarget: 353.9 | Colliding: False | NearestObstacle: 40.6
Step 109 | Time: 1.817s | Pos: (774.5, 305.0) | Vel: (90.4, -42.8) | Orient: 0.05 rad | AngVel: 0.13 | Speed: 100.0 | DistToTarget: 352.5 | Colliding: False | NearestObstacle: 40.9
Step 110 | Time: 1.833s | Pos: (776.0, 304.4) | Vel: (91.0, -41.4) | Orient: 0.05 rad | AngVel: 0.13 | Speed: 100.0 | DistToTarget: 351.0 | Colliding: False | NearestObstacle: 41.3
Step 111 | Time: 1.850s | Pos: (777.6, 303.7) | Vel: (91.6, -40.1) | Orient: 0.05 rad | AngVel: 0.13 | Speed: 100.0 | DistToTarget: 349.5 | Colliding: False | NearestObstacle: 41.7
Step 112 | Time: 1.867s | Pos: (779.1, 303.0) | Vel: (92.2, -38.7) | Orient: 0.05 rad | AngVel: 0.12 | Speed: 100.0 | DistToTarget: 348.0 | Colliding: False | NearestObstacle: 42.1
Step 113 | Time: 1.883s | Pos: (780.6, 302.4) | Vel: (92.7, -37.4) | Orient: 0.05 rad | AngVel: 0.12 | Speed: 100.0 | DistToTarget: 346.5 | Colliding: False | NearestObstacle: 42.5
Step 114 | Time: 1.900s | Pos: (782.2, 301.8) | Vel: (93.2, -36.2) | Orient: 0.06 rad | AngVel: 0.12 | Speed: 100.0 | DistToTarget: 345.0 | Colliding: False | NearestObstacle: 42.9
Step 115 | Time: 1.917s | Pos: (783.8, 301.2) | Vel: (93.7, -34.9) | Orient: 0.06 rad | AngVel: 0.12 | Speed: 100.0 | DistToTarget: 343.4 | Colliding: False | NearestObstacle: 43.3
Step 116 | Time: 1.933s | Pos: (785.3, 300.7) | Vel: (94.2, -33.6) | Orient: 0.06 rad | AngVel: 0.11 | Speed: 100.0 | DistToTarget: 341.9 | Colliding: False | NearestObstacle: 43.8
Step 117 | Time: 1.950s | Pos: (786.9, 300.1) | Vel: (94.6, -32.4) | Orient: 0.06 rad | AngVel: 0.11 | Speed: 100.0 | DistToTarget: 340.4 | Colliding: False | NearestObstacle: 44.2
Step 118 | Time: 1.967s | Pos: (788.5, 299.6) | Vel: (95.0, -31.2) | Orient: 0.06 rad | AngVel: 0.11 | Speed: 100.0 | DistToTarget: 338.8 | Colliding: False | NearestObstacle: 44.7
Step 119 | Time: 1.983s | Pos: (790.1, 299.1) | Vel: (95.4, -30.0) | Orient: 0.07 rad | AngVel: 0.11 | Speed: 100.0 | DistToTarget: 337.3 | Colliding: False | NearestObstacle: 45.1
Step 120 | Time: 2.000s | Pos: (791.7, 298.6) | Vel: (95.7, -28.9) | Orient: 0.07 rad | AngVel: 0.10 | Speed: 100.0 | DistToTarget: 335.7 | Colliding: False | NearestObstacle: 45.6
Step 121 | Time: 2.017s | Pos: (793.3, 298.2) | Vel: (96.1, -27.7) | Orient: 0.07 rad | AngVel: 0.10 | Speed: 100.0 | DistToTarget: 334.1 | Colliding: False | NearestObstacle: 46.1
Step 122 | Time: 2.033s | Pos: (794.9, 297.7) | Vel: (96.4, -26.6) | Orient: 0.07 rad | AngVel: 0.10 | Speed: 100.0 | DistToTarget: 332.6 | Colliding: False | NearestObstacle: 46.6
Step 123 | Time: 2.050s | Pos: (796.5, 297.3) | Vel: (96.7, -25.5) | Orient: 0.07 rad | AngVel: 0.10 | Speed: 100.0 | DistToTarget: 331.0 | Colliding: False | NearestObstacle: 47.1
Step 124 | Time: 2.067s | Pos: (798.1, 296.9) | Vel: (97.0, -24.4) | Orient: 0.07 rad | AngVel: 0.10 | Speed: 100.0 | DistToTarget: 329.4 | Colliding: False | NearestObstacle: 47.6
Step 125 | Time: 2.083s | Pos: (799.7, 296.5) | Vel: (97.3, -23.3) | Orient: 0.08 rad | AngVel: 0.09 | Speed: 100.0 | DistToTarget: 327.8 | Colliding: False | NearestObstacle: 48.2
