Step 65 | Time: 1.083s | Pos: (708.8, 365.0) | Vel: (99.6, -8.6) | Orient: -0.84 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 261.5 | Colliding: False | NearestObstacle: 82.6
Step 66 | Time: 1.100s | Pos: (710.4, 364.8) | Vel: (99.6, -8.9) | Orient: -0.80 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 259.9 | Colliding: False | NearestObstacle: 82.4
Step 67 | Time: 1.117s | Pos: (712.1, 364.7) | Vel: (99.6, -9.2) | Orient: -0.77 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 258.3 | Colliding: False | NearestObstacle: 82.1
Step 68 | Time: 1.133s | Pos: (713.8, 364.5) | Vel: (99.5, -9.5) | Orient: -0.74 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 256.7 | Colliding: False | NearestObstacle: 81.9
Step 69 | Time: 1.150s | Pos: (715.4, 364.4) | Vel: (99.5, -9.8) | Orient: -0.70 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 255.1 | Colliding: False | NearestObstacle: 81.7
Step 70 | Time: 1.167s | Pos: (717.1, 364.2) | Vel: (99.5, -10.2) | Orient: -0.67 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 253.5 | Colliding: False | NearestObstacle: 81.5
Step 71 | Time: 1.183s | Pos: (718.7, 364.0) | Vel: (99.4, -10.6) | Orient: -0.64 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 251.9 | Colliding: False | NearestObstacle: 81.3
Step 72 | Time: 1.200s | Pos: (720.4, 363.8) | Vel: (99.4, -11.0) | Orient: -0.60 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 250.3 | Colliding: False | NearestObstacle: 81.2
Step 73 | Time: 1.217s | Pos: (722.0, 363.6) | Vel: (99.3, -11.5) | Orient: -0.57 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 248.7 | Colliding: False | NearestObstacle: 81.1
Step 74 | Time: 1.233s | Pos: (723.7, 363.4) | Vel: (99.3, -12.0) | Orient: -0.54 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 247.1 | Colliding: False | NearestObstacle: 80.9
Step 75 | Time: 1.250s | Pos: (725.4, 363.2) | Vel: (99.2, -12.6) | Orient: -0.50 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 245.5 | Colliding: False | NearestObstacle: 79.5
Step 76 | Time: 1.267s | Pos: (727.0, 363.0) | Vel: (99.1, -13.2) | Orient: -0.47 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 243.9 | Colliding: False | NearestObstacle: 77.9
Step 77 | Time: 1.283s | Pos: (728.7, 362.8) | Vel: (99.0, -13.8) | Orient: -0.44 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 242.3 | Colliding: False | NearestObstacle: 76.2
Step 78 | Time: 1.300s | Pos: (730.3, 362.5) | Vel: (98.9, -14.5) | Orient: -0.41 rad | AngVel: 1.71 | Speed: 100.0 | DistToTarget: 240.6 | Colliding: False | NearestObstacle: 74.6
Step 79 | Time: 1.317s | Pos: (732.0, 362.3) | Vel: (98.8, -15.3) | Orient: -0.39 rad | AngVel: 1.04 | Speed: 100.0 | DistToTarget: 239.0 | Colliding: False | NearestObstacle: 73.0
Step 80 | Time: 1.333s | Pos: (733.6, 362.0) | Vel: (98.7, -16.1) | Orient: -0.39 rad | AngVel: 0.35 | Speed: 100.0 | DistToTarget: 237.4 | Colliding: False | NearestObstacle: 71.4
Step 81 | Time: 1.350s | Pos: (735.2, 361.7) | Vel: (98.5, -17.0) | Orient: -0.39 rad | AngVel: -0.17 | Speed: 100.0 | DistToTarget: 235.8 | Colliding: False | NearestObstacle: 69.8
Step 82 | Time: 1.367s | Pos: (736.9, 361.4) | Vel: (98.4, -17.9) | Orient: -0.40 rad | AngVel: -0.44 | Speed: 100.0 | DistToTarget: 234.2 | Colliding: False | NearestObstacle: 68.2
Step 83 | Time: 1.383s | Pos: (738.5, 361.1) | Vel: (98.2, -19.0) | Orient: -0.41 rad | AngVel: -0.50 | Speed: 100.0 | DistToTarget: 232.5 | Colliding: False | NearestObstacle: 66.6
Step 84 | Time: 1.400s | Pos: (740.1, 360.8) | Vel: (98.0, -20.1) | Orient: -0.41 rad | AngVel: -0.42 | Speed: 100.0 | DistToTarget: 230.9 | Colliding: False | NearestObstacle: 65.0
Step 85 | Time: 1.417s | Pos: (741.8, 360.4) | Vel: (97.7, -21.3) | Orient: -0.42 rad | AngVel: -0.28 | Speed: 100.0 | DistToTarget: 229.3 | Colliding: False | NearestObstacle: 63.5
Step 86 | Time: 1.433s | Pos: (743.4, 360.0) | Vel: (97.4, -22.6) | Orient: -0.42 rad | AngVel: -0.14 | Speed: 100.0 | DistToTarget: 227.6 | Colliding: False | NearestObstacle: 61.9
Step 87 | Time: 1.450s | Pos: (745.0, 359.6) | Vel: (97.1, -23.9) | Orient: -0.42 rad | AngVel: -0.05 | Speed: 100.0 | DistToTarget: 226.0 | Colliding: False | NearestObstacle: 60.3
Step 88 | Time: 1.467s | Pos: (746.6, 359.2) | Vel: (96.7, -25.4) | Orient: -0.42 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 224.4 | Colliding: False | NearestObstacle: 58.8
Step 89 | Time: 1.483s | Pos: (748.2, 358.8) | Vel: (96.3, -27.1) | Orient: -0.42 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 222.7 | Colliding: False | NearestObstacle: 57.3
Step 90 | Time: 1.500s | Pos: (749.8, 358.3) | Vel: (95.8, -28.8) | Orient: -0.42 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 221.1 | Colliding: False | NearestObstacle: 55.8
Step 91 | Time: 1.517s | Pos: (751.4, 357.8) | Vel: (95.2, -30.7) | Orient: -0.42 rad | AngVel: -0.02 | Speed: 100.0 | DistToTarget: 219.4 | Colliding: False | NearestObstacle: 54.3
Step 92 | Time: 1.533s | Pos: (753.0, 357.2) | Vel: (94.5, -32.8) | Orient: -0.42 rad | AngVel: -0.04 | Speed: 100.0 | DistToTarget: 217.7 | Colliding: False | NearestObstacle: 52.9
Step 93 | Time: 1.550s | Pos: (754.6, 356.6) | Vel: (93.7, -35.0) | Orient: -0.42 rad | AngVel: -0.04 | Speed: 100.0 | DistToTarget: 216.1 | Colliding: False | NearestObstacle: 51.5
Step 94 | Time: 1.567s | Pos: (756.1, 356.0) | Vel: (92.7, -37.4) | Orient: -0.42 rad | AngVel: -0.04 | Speed: 100.0 | DistToTarget: 214.4 | Colliding: False | NearestObstacle: 50.1
Step 95 | Time: 1.583s | Pos: (757.6, 355.4) | Vel: (91.7, -40.0) | Orient: -0.42 rad | AngVel: -0.02 | Speed: 100.0 | DistToTarget: 212.7 | Colliding: False | NearestObstacle: 48.7
Step 96 | Time: 1.600s | Pos: (759.1, 354.6) | Vel: (90.4, -42.8) | Orient: -0.42 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 211.1 | Colliding: False | NearestObstacle: 47.4
Step 97 | Time: 1.617s | Pos: (760.6, 353.9) | Vel: (88.9, -45.7) | Orient: -0.42 rad | AngVel: 0.02 | Speed: 100.0 | DistToTarget: 209.4 | Colliding: False | NearestObstacle: 46.1
Step 98 | Time: 1.633s | Pos: (762.1, 353.1) | Vel: (87.3, -48.9) | Orient: -0.42 rad | AngVel: 0.04 | Speed: 100.0 | DistToTarget: 207.7 | Colliding: False | NearestObstacle: 44.9
Step 99 | Time: 1.650s | Pos: (763.5, 352.2) | Vel: (85.3, -52.2) | Orient: -0.42 rad | AngVel: 0.06 | Speed: 100.0 | DistToTarget: 206.1 | Colliding: False | NearestObstacle: 43.8
Step 100 | Time: 1.667s | Pos: (764.9, 351.3) | Vel: (83.1, -55.6) | Orient: -0.42 rad | AngVel: 0.08 | Speed: 100.0 | DistToTarget: 204.5 | Colliding: False | NearestObstacle: 42.7
Step 101 | Time: 1.683s | Pos: (766.2, 350.3) | Vel: (80.6, -59.2) | Orient: -0.42 rad | AngVel: 0.10 | Speed: 100.0 | DistToTarget: 202.8 | Colliding: False | NearestObstacle: 41.7
