Step 62 | Time: 1.033s | Pos: (601.4, 398.8) | Vel: (-40.5, 91.4) | Orient: 1.59 rad | AngVel: -0.28 | Speed: 100.0 | DistToTarget: 133.8 | Colliding: False | NearestObstacle: 110.2
Step 63 | Time: 1.050s | Pos: (600.7, 400.4) | Vel: (-39.3, 92.0) | Orient: 1.59 rad | AngVel: -0.28 | Speed: 100.0 | DistToTarget: 132.2 | Colliding: False | NearestObstacle: 110.1
Step 64 | Time: 1.067s | Pos: (600.1, 401.9) | Vel: (-38.0, 92.5) | Orient: 1.59 rad | AngVel: -0.28 | Speed: 100.0 | DistToTarget: 130.7 | Colliding: False | NearestObstacle: 110.1
Step 65 | Time: 1.083s | Pos: (599.5, 403.5) | Vel: (-36.8, 93.0) | Orient: 1.58 rad | AngVel: -0.27 | Speed: 100.0 | DistToTarget: 129.1 | Colliding: False | NearestObstacle: 110.0
Step 66 | Time: 1.100s | Pos: (598.9, 405.0) | Vel: (-35.6, 93.5) | Orient: 1.58 rad | AngVel: -0.27 | Speed: 100.0 | DistToTarget: 127.5 | Colliding: False | NearestObstacle: 109.9
Step 67 | Time: 1.117s | Pos: (598.3, 406.6) | Vel: (-34.4, 93.9) | Orient: 1.57 rad | AngVel: -0.27 | Speed: 100.0 | DistToTarget: 126.0 | Colliding: False | NearestObstacle: 109.9
Step 68 | Time: 1.133s | Pos: (597.8, 408.1) | Vel: (-33.2, 94.3) | Orient: 1.57 rad | AngVel: -0.27 | Speed: 100.0 | DistToTarget: 124.4 | Colliding: False | NearestObstacle: 109.8
Step 69 | Time: 1.150s | Pos: (597.2, 409.7) | Vel: (-32.0, 94.7) | Orient: 1.56 rad | AngVel: -0.26 | Speed: 100.0 | DistToTarget: 122.8 | Colliding: False | NearestObstacle: 109.7
Step 70 | Time: 1.167s | Pos: (596.7, 411.3) | Vel: (-30.9, 95.1) | Orient: 1.56 rad | AngVel: -0.26 | Speed: 100.0 | DistToTarget: 121.3 | Colliding: False | NearestObstacle: 109.6
Step 71 | Time: 1.183s | Pos: (596.2, 412.9) | Vel: (-29.7, 95.5) | Orient: 1.55 rad | AngVel: -0.26 | Speed: 100.0 | DistToTarget: 119.7 | Colliding: False | NearestObstacle: 109.6
Step 72 | Time: 1.200s | Pos: (595.7, 414.5) | Vel: (-28.6, 95.8) | Orient: 1.55 rad | AngVel: -0.26 | Speed: 100.0 | DistToTarget: 118.1 | Colliding: False | NearestObstacle: 109.5
Step 73 | Time: 1.217s | Pos: (595.3, 416.1) | Vel: (-27.5, 96.2) | Orient: 1.55 rad | AngVel: -0.25 | Speed: 100.0 | DistToTarget: 116.5 | Colliding: False | NearestObstacle: 109.4
Step 74 | Time: 1.233s | Pos: (594.8, 417.7) | Vel: (-26.3, 96.5) | Orient: 1.54 rad | AngVel: -0.25 | Speed: 100.0 | DistToTarget: 114.9 | Colliding: False | NearestObstacle: 109.4
Step 75 | Time: 1.250s | Pos: (594.4, 419.3) | Vel: (-25.2, 96.8) | Orient: 1.54 rad | AngVel: -0.25 | Speed: 100.0 | DistToTarget: 113.3 | Colliding: False | NearestObstacle: 109.3
Step 76 | Time: 1.267s | Pos: (594.0, 420.9) | Vel: (-24.1, 97.0) | Orient: 1.53 rad | AngVel: -0.24 | Speed: 100.0 | DistToTarget: 111.7 | Colliding: False | NearestObstacle: 109.2
Step 77 | Time: 1.283s | Pos: (593.6, 422.6) | Vel: (-23.0, 97.3) | Orient: 1.53 rad | AngVel: -0.24 | Speed: 100.0 | DistToTarget: 110.1 | Colliding: False | NearestObstacle: 109.2
Step 78 | Time: 1.300s | Pos: (593.3, 424.2) | Vel: (-22.0, 97.6) | Orient: 1.53 rad | AngVel: -0.24 | Speed: 100.0 | DistToTarget: 108.5 | Colliding: False | NearestObstacle: 109.1
