Step 66 | Time: 1.100s | Pos: (619.6, 305.8) | Vel: (57.0, -157.2) | Orient: -0.31 rad | AngVel: 0.50 | Speed: 167.2 | DistToTarget: 260.7 | Colliding: False | NearestObstacle: 113.6
Step 67 | Time: 1.117s | Pos: (620.5, 303.1) | Vel: (54.2, -161.0) | Orient: -0.30 rad | AngVel: 0.53 | Speed: 169.9 | DistToTarget: 259.0 | Colliding: False | NearestObstacle: 112.8
Step 68 | Time: 1.133s | Pos: (621.4, 300.4) | Vel: (51.9, -164.8) | Orient: -0.29 rad | AngVel: 0.55 | Speed: 172.8 | DistToTarget: 257.4 | Colliding: False | NearestObstacle: 112.1
Step 69 | Time: 1.150s | Pos: (622.2, 297.6) | Vel: (50.1, -168.6) | Orient: -0.28 rad | AngVel: 0.58 | Speed: 175.9 | DistToTarget: 255.8 | Colliding: False | NearestObstacle: 111.5
Step 70 | Time: 1.167s | Pos: (623.0, 294.7) | Vel: (48.9, -172.3) | Orient: -0.27 rad | AngVel: 0.60 | Speed: 179.1 | DistToTarget: 254.2 | Colliding: False | NearestObstacle: 111.0
Step 71 | Time: 1.183s | Pos: (623.8, 291.8) | Vel: (48.3, -176.0) | Orient: -0.26 rad | AngVel: 0.62 | Speed: 182.5 | DistToTarget: 252.7 | Colliding: False | NearestObstacle: 110.5
Step 72 | Time: 1.200s | Pos: (624.6, 288.8) | Vel: (48.3, -179.6) | Orient: -0.25 rad | AngVel: 0.64 | Speed: 186.0 | DistToTarget: 251.1 | Colliding: False | NearestObstacle: 110.2
Step 73 | Time: 1.217s | Pos: (625.5, 285.7) | Vel: (49.0, -183.1) | Orient: -0.24 rad | AngVel: 0.66 | Speed: 189.5 | DistToTarget: 249.6 | Colliding: False | NearestObstacle: 109.9
Step 74 | Time: 1.233s | Pos: (626.3, 282.6) | Vel: (50.4, -186.4) | Orient: -0.23 rad | AngVel: 0.68 | Speed: 193.1 | DistToTarget: 248.0 | Colliding: False | NearestObstacle: 109.7
Step 75 | Time: 1.250s | Pos: (627.2, 279.5) | Vel: (52.5, -189.6) | Orient: -0.22 rad | AngVel: 0.70 | Speed: 196.7 | DistToTarget: 246.5 | Colliding: False | NearestObstacle: 109.5
Step 76 | Time: 1.267s | Pos: (628.1, 276.3) | Vel: (55.2, -192.6) | Orient: -0.21 rad | AngVel: 0.72 | Speed: 200.3 | DistToTarget: 244.9 | Colliding: False | NearestObstacle: 109.3
Step 77 | Time: 1.283s | Pos: (629.1, 273.0) | Vel: (58.5, -195.4) | Orient: -0.19 rad | AngVel: 0.74 | Speed: 203.9 | DistToTarget: 243.3 | Colliding: False | NearestObstacle: 109.2
Step 78 | Time: 1.300s | Pos: (630.1, 269.7) | Vel: (62.5, -198.0) | Orient: -0.18 rad | AngVel: 0.76 | Speed: 207.6 | DistToTarget: 241.7 | Colliding: False | NearestObstacle: 109.2
