Step 52 | Time: 0.867s | Pos: (588.2, 362.9) | Vel: (-98.8, 15.2) | Orient: -2.98 rad | AngVel: 0.09 | Speed: 100.0 | DistToTarget: 414.1 | Colliding: False | NearestObstacle: 57.3
Step 53 | Time: 0.883s | Pos: (586.6, 363.2) | Vel: (-98.5, 17.2) | Orient: -2.98 rad | AngVel: 0.14 | Speed: 100.0 | DistToTarget: 412.5 | Colliding: False | NearestObstacle: 56.2
Step 54 | Time: 0.900s | Pos: (584.9, 363.5) | Vel: (-98.1, 19.4) | Orient: -2.97 rad | AngVel: 0.16 | Speed: 100.0 | DistToTarget: 411.0 | Colliding: False | NearestObstacle: 55.1
Step 55 | Time: 0.917s | Pos: (583.3, 363.8) | Vel: (-97.6, 21.7) | Orient: -2.97 rad | AngVel: 0.15 | Speed: 100.0 | DistToTarget: 409.4 | Colliding: False | NearestObstacle: 54.1
Step 56 | Time: 0.933s | Pos: (581.7, 364.3) | Vel: (-97.1, 24.1) | Orient: -2.97 rad | AngVel: 0.13 | Speed: 100.0 | DistToTarget: 407.9 | Colliding: False | NearestObstacle: 53.1
Step 57 | Time: 0.950s | Pos: (580.1, 364.7) | Vel: (-96.4, 26.6) | Orient: -2.97 rad | AngVel: 0.11 | Speed: 100.0 | DistToTarget: 406.4 | Colliding: False | NearestObstacle: 52.2
Step 58 | Time: 0.967s | Pos: (578.5, 365.2) | Vel: (-95.6, 29.3) | Orient: -2.97 rad | AngVel: 0.10 | Speed: 100.0 | DistToTarget: 404.9 | Colliding: False | NearestObstacle: 51.3
Step 59 | Time: 0.983s | Pos: (576.9, 365.7) | Vel: (-94.8, 31.9) | Orient: -2.96 rad | AngVel: 0.10 | Speed: 100.0 | DistToTarget: 403.4 | Colliding: False | NearestObstacle: 50.6
Step 60 | Time: 1.000s | Pos: (575.4, 366.3) | Vel: (-93.8, 34.6) | Orient: -2.96 rad | AngVel: 0.11 | Speed: 100.0 | DistToTarget: 402.0 | Colliding: False | NearestObstacle: 49.8
Step 61 | Time: 1.017s | Pos: (573.8, 366.9) | Vel: (-92.8, 37.3) | Orient: -2.96 rad | AngVel: 0.12 | Speed: 100.0 | DistToTarget: 400.6 | Colliding: False | NearestObstacle: 49.2
Step 62 | Time: 1.033s | Pos: (572.3, 367.6) | Vel: (-91.7, 40.0) | Orient: -2.96 rad | AngVel: 0.13 | Speed: 100.0 | DistToTarget: 399.2 | Colliding: False | NearestObstacle: 48.6
Step 63 | Time: 1.050s | Pos: (570.8, 368.3) | Vel: (-90.5, 42.5) | Orient: -2.96 rad | AngVel: 0.15 | Speed: 100.0 | DistToTarget: 397.9 | Colliding: False | NearestObstacle: 48.2
Step 64 | Time: 1.067s | Pos: (569.3, 369.0) | Vel: (-89.4, 44.9) | Orient: -2.95 rad | AngVel: 0.16 | Speed: 100.0 | DistToTarget: 396.5 | Colliding: False | NearestObstacle: 47.7
Step 65 | Time: 1.083s | Pos: (567.8, 369.8) | Vel: (-88.2, 47.1) | Orient: -2.95 rad | AngVel: 0.16 | Speed: 100.0 | DistToTarget: 395.2 | Colliding: False | NearestObstacle: 47.4
Step 66 | Time: 1.100s | Pos: (566.4, 370.6) | Vel: (-87.1, 49.1) | Orient: -2.95 rad | AngVel: 0.17 | Speed: 100.0 | DistToTarget: 394.0 | Colliding: False | NearestObstacle: 47.1
Step 67 | Time: 1.117s | Pos: (564.9, 371.5) | Vel: (-86.1, 50.9) | Orient: -2.94 rad | AngVel: 0.17 | Speed: 100.0 | DistToTarget: 392.7 | Colliding: False | NearestObstacle: 46.9
Step 68 | Time: 1.133s | Pos: (563.5, 372.4) | Vel: (-85.2, 52.4) | Orient: -2.94 rad | AngVel: 0.18 | Speed: 100.0 | DistToTarget: 391.5 | Colliding: False | NearestObstacle: 46.8
Step 69 | Time: 1.150s | Pos: (562.1, 373.3) | Vel: (-84.4, 53.6) | Orient: -2.94 rad | AngVel: 0.18 | Speed: 100.0 | DistToTarget: 390.3 | Colliding: False | NearestObstacle: 46.7
