Step 68 | Time: 1.133s | Pos: (491.3, 308.4) | Vel: (-108.9, -219.8) | Orient: -1.29 rad | AngVel: 0.79 | Speed: 245.3 | DistToTarget: 205.6 | Colliding: False | NearestObstacle: 142.9
Step 69 | Time: 1.150s | Pos: (489.5, 304.7) | Vel: (-108.2, -222.0) | Orient: -1.28 rad | AngVel: 0.82 | Speed: 247.0 | DistToTarget: 202.6 | Colliding: False | NearestObstacle: 142.5
Step 70 | Time: 1.167s | Pos: (487.7, 300.9) | Vel: (-107.3, -224.2) | Orient: -1.26 rad | AngVel: 0.84 | Speed: 248.6 | DistToTarget: 199.5 | Colliding: False | NearestObstacle: 142.1
Step 71 | Time: 1.183s | Pos: (485.9, 297.2) | Vel: (-106.0, -226.5) | Orient: -1.25 rad | AngVel: 0.86 | Speed: 250.1 | DistToTarget: 196.5 | Colliding: False | NearestObstacle: 141.7
Step 72 | Time: 1.200s | Pos: (484.2, 293.3) | Vel: (-104.5, -228.9) | Orient: -1.24 rad | AngVel: 0.89 | Speed: 251.6 | DistToTarget: 193.4 | Colliding: False | NearestObstacle: 141.5
Step 73 | Time: 1.217s | Pos: (482.5, 289.5) | Vel: (-102.7, -231.3) | Orient: -1.22 rad | AngVel: 0.91 | Speed: 253.1 | DistToTarget: 190.4 | Colliding: False | NearestObstacle: 141.3
Step 74 | Time: 1.233s | Pos: (480.8, 285.6) | Vel: (-100.6, -233.7) | Orient: -1.20 rad | AngVel: 0.93 | Speed: 254.5 | DistToTarget: 187.3 | Colliding: False | NearestObstacle: 141.1
Step 75 | Time: 1.250s | Pos: (479.1, 281.7) | Vel: (-98.2, -236.2) | Orient: -1.19 rad | AngVel: 0.96 | Speed: 255.8 | DistToTarget: 184.3 | Colliding: False | NearestObstacle: 141.0
Step 76 | Time: 1.267s | Pos: (477.6, 277.7) | Vel: (-95.6, -238.7) | Orient: -1.17 rad | AngVel: 0.98 | Speed: 257.1 | DistToTarget: 181.2 | Colliding: False | NearestObstacle: 141.0
Step 77 | Time: 1.283s | Pos: (476.0, 273.7) | Vel: (-92.6, -241.2) | Orient: -1.16 rad | AngVel: 1.01 | Speed: 258.3 | DistToTarget: 178.1 | Colliding: False | NearestObstacle: 141.0
Step 78 | Time: 1.300s | Pos: (474.5, 269.6) | Vel: (-89.3, -243.6) | Orient: -1.14 rad | AngVel: 1.03 | Speed: 259.5 | DistToTarget: 175.0 | Colliding: False | NearestObstacle: 141.0
Step 79 | Time: 1.317s | Pos: (473.1, 265.5) | Vel: (-85.7, -246.1) | Orient: -1.12 rad | AngVel: 1.05 | Speed: 260.6 | DistToTarget: 172.0 | Colliding: False | NearestObstacle: 141.1
Step 80 | Time: 1.333s | Pos: (471.7, 261.4) | Vel: (-81.9, -248.5) | Orient: -1.10 rad | AngVel: 1.08 | Speed: 261.6 | DistToTarget: 168.8 | Colliding: False | NearestObstacle: 141.3
