Step 81 | Time: 1.350s | Pos: (763.9, 397.3) | Vel: (98.5, 17.5) | Orient: 0.34 rad | AngVel: 0.04 | Speed: 100.0 | DistToTarget: 373.1 | Colliding: True | NearestObstacle: 10.7
Step 82 | Time: 1.367s | Pos: (765.5, 397.6) | Vel: (98.5, 17.1) | Orient: 0.34 rad | AngVel: 0.05 | Speed: 100.0 | DistToTarget: 371.4 | Colliding: True | NearestObstacle: 10.2
Step 83 | Time: 1.383s | Pos: (767.2, 397.8) | Vel: (98.6, 16.7) | Orient: 0.35 rad | AngVel: 0.05 | Speed: 100.0 | DistToTarget: 369.8 | Colliding: True | NearestObstacle: 9.8
Step 84 | Time: 1.400s | Pos: (768.8, 398.1) | Vel: (98.7, 16.4) | Orient: 0.35 rad | AngVel: 0.05 | Speed: 100.0 | DistToTarget: 368.1 | Colliding: True | NearestObstacle: 9.4
Step 85 | Time: 1.417s | Pos: (770.5, 398.4) | Vel: (98.7, 16.1) | Orient: 0.35 rad | AngVel: 0.05 | Speed: 100.0 | DistToTarget: 366.5 | Colliding: True | NearestObstacle: 9.1
Step 86 | Time: 1.433s | Pos: (772.1, 398.7) | Vel: (98.7, 15.9) | Orient: 0.35 rad | AngVel: 0.05 | Speed: 100.0 | DistToTarget: 364.9 | Colliding: True | NearestObstacle: 8.8
Step 87 | Time: 1.450s | Pos: (773.8, 398.9) | Vel: (98.8, 15.7) | Orient: 0.35 rad | AngVel: 0.05 | Speed: 100.0 | DistToTarget: 363.2 | Colliding: True | NearestObstacle: 8.6
Step 88 | Time: 1.467s | Pos: (775.4, 399.2) | Vel: (98.8, 15.7) | Orient: 0.35 rad | AngVel: 0.05 | Speed: 100.0 | DistToTarget: 361.6 | Colliding: True | NearestObstacle: 8.5
Step 89 | Time: 1.483s | Pos: (777.1, 399.4) | Vel: (98.8, 15.7) | Orient: 0.35 rad | AngVel: 0.05 | Speed: 100.0 | DistToTarget: 360.0 | Colliding: True | NearestObstacle: 8.3
Step 90 | Time: 1.500s | Pos: (778.7, 399.7) | Vel: (98.7, 15.8) | Orient: 0.35 rad | AngVel: 0.05 | Speed: 100.0 | DistToTarget: 358.3 | Colliding: True | NearestObstacle: 8.3
Step 91 | Time: 1.517s | Pos: (780.4, 400.0) | Vel: (98.7, 16.0) | Orient: 0.35 rad | AngVel: 0.05 | Speed: 100.0 | DistToTarget: 356.7 | Colliding: True | NearestObstacle: 8.3
Step 92 | Time: 1.533s | Pos: (782.0, 400.2) | Vel: (98.7, 16.2) | Orient: 0.35 rad | AngVel: 0.05 | Speed: 100.0 | DistToTarget: 355.0 | Colliding: True | NearestObstacle: 8.4
Step 93 | Time: 1.550s | Pos: (783.6, 400.5) | Vel: (98.6, 16.5) | Orient: 0.35 rad | AngVel: 0.05 | Speed: 100.0 | DistToTarget: 353.4 | Colliding: True | NearestObstacle: 8.5
Step 94 | Time: 1.567s | Pos: (785.3, 400.8) | Vel: (98.6, 16.8) | Orient: 0.36 rad | AngVel: 0.05 | Speed: 100.0 | DistToTarget: 351.8 | Colliding: True | NearestObstacle: 8.6
Step 95 | Time: 1.583s | Pos: (786.9, 401.1) | Vel: (98.5, 17.3) | Orient: 0.36 rad | AngVel: 0.05 | Speed: 100.0 | DistToTarget: 350.1 | Colliding: True | NearestObstacle: 8.8
Step 96 | Time: 1.600s | Pos: (788.6, 401.4) | Vel: (98.4, 17.7) | Orient: 0.36 rad | AngVel: 0.05 | Speed: 100.0 | DistToTarget: 348.5 | Colliding: True | NearestObstacle: 9.0
Step 97 | Time: 1.617s | Pos: (790.2, 401.7) | Vel: (98.3, 18.2) | Orient: 0.36 rad | AngVel: 0.05 | Speed: 100.0 | DistToTarget: 346.9 | Colliding: True | NearestObstacle: 9.3
Step 98 | Time: 1.633s | Pos: (791.8, 402.0) | Vel: (98.2, 18.8) | Orient: 0.36 rad | AngVel: 0.05 | Speed: 100.0 | DistToTarget: 345.2 | Colliding: True | NearestObstacle: 9.7
Step 99 | Time: 1.650s | Pos: (793.5, 402.3) | Vel: (98.1, 19.3) | Orient: 0.36 rad | AngVel: 0.05 | Speed: 100.0 | DistToTarget: 343.6 | Colliding: True | NearestObstacle: 10.0
Step 100 | Time: 1.667s | Pos: (795.1, 402.6) | Vel: (98.0, 19.9) | Orient: 0.36 rad | AngVel: 0.05 | Speed: 100.0 | DistToTarget: 341.9 | Colliding: True | NearestObstacle: 10.4
Step 101 | Time: 1.683s | Pos: (796.7, 403.0) | Vel: (97.9, 20.5) | Orient: 0.36 rad | AngVel: 0.05 | Speed: 100.0 | DistToTarget: 340.3 | Colliding: True | NearestObstacle: 10.9
Step 102 | Time: 1.700s | Pos: (798.4, 403.3) | Vel: (97.7, 21.1) | Orient: 0.36 rad | AngVel: 0.04 | Speed: 100.0 | DistToTarget: 338.6 | Colliding: True | NearestObstacle: 11.4
Step 103 | Time: 1.717s | Pos: (800.0, 403.7) | Vel: (97.6, 21.8) | Orient: 0.36 rad | AngVel: 0.04 | Speed: 100.0 | DistToTarget: 337.0 | Colliding: True | NearestObstacle: 11.9
Step 104 | Time: 1.733s | Pos: (801.6, 404.1) | Vel: (97.5, 22.4) | Orient: 0.36 rad | AngVel: 0.04 | Speed: 100.0 | DistToTarget: 335.3 | Colliding: True | NearestObstacle: 12.5
Step 105 | Time: 1.750s | Pos: (803.2, 404.5) | Vel: (97.3, 23.0) | Orient: 0.36 rad | AngVel: 0.04 | Speed: 100.0 | DistToTarget: 333.7 | Colliding: True | NearestObstacle: 13.1
Step 106 | Time: 1.767s | Pos: (804.9, 404.9) | Vel: (97.2, 23.7) | Orient: 0.36 rad | AngVel: 0.04 | Speed: 100.0 | DistToTarget: 332.0 | Colliding: True | NearestObstacle: 13.7
Step 107 | Time: 1.783s | Pos: (806.5, 405.3) | Vel: (97.0, 24.3) | Orient: 0.37 rad | AngVel: 0.04 | Speed: 100.0 | DistToTarget: 330.4 | Colliding: True | NearestObstacle: 14.4
Step 108 | Time: 1.800s | Pos: (808.1, 405.7) | Vel: (96.9, 24.9) | Orient: 0.37 rad | AngVel: 0.03 | Speed: 100.0 | DistToTarget: 328.7 | Colliding: False | NearestObstacle: 15.0
Step 109 | Time: 1.817s | Pos: (809.7, 406.1) | Vel: (96.7, 25.5) | Orient: 0.37 rad | AngVel: 0.03 | Speed: 100.0 | DistToTarget: 327.1 | Colliding: False | NearestObstacle: 15.8
Step 110 | Time: 1.833s | Pos: (811.3, 406.5) | Vel: (96.5, 26.1) | Orient: 0.37 rad | AngVel: 0.03 | Speed: 100.0 | DistToTarget: 325.4 | Colliding: False | NearestObstacle: 16.5
Step 111 | Time: 1.850s | Pos: (812.9, 407.0) | Vel: (96.4, 26.6) | Orient: 0.37 rad | AngVel: 0.03 | Speed: 100.0 | DistToTarget: 323.7 | Colliding: False | NearestObstacle: 17.3
Step 112 | Time: 1.867s | Pos: (814.5, 407.4) | Vel: (96.2, 27.2) | Orient: 0.37 rad | AngVel: 0.03 | Speed: 100.0 | DistToTarget: 322.1 | Colliding: False | NearestObstacle: 18.1
Step 113 | Time: 1.883s | Pos: (816.1, 407.9) | Vel: (96.1, 27.7) | Orient: 0.37 rad | AngVel: 0.03 | Speed: 100.0 | DistToTarget: 320.4 | Colliding: False | NearestObstacle: 18.9
Step 114 | Time: 1.900s | Pos: (817.7, 408.4) | Vel: (95.9, 28.2) | Orient: 0.37 rad | AngVel: 0.03 | Speed: 100.0 | DistToTarget: 318.8 | Colliding: False | NearestObstacle: 19.8
Step 115 | Time: 1.917s | Pos: (819.3, 408.8) | Vel: (95.8, 28.7) | Orient: 0.37 rad | AngVel: 0.02 | Speed: 100.0 | DistToTarget: 317.1 | Colliding: False | NearestObstacle: 20.7
Step 116 | Time: 1.933s | Pos: (820.9, 409.3) | Vel: (95.7, 29.1) | Orient: 0.37 rad | AngVel: 0.02 | Speed: 100.0 | DistToTarget: 315.4 | Colliding: False | NearestObstacle: 21.6
Step 117 | Time: 1.950s | Pos: (822.5, 409.8) | Vel: (95.5, 29.6) | Orient: 0.37 rad | AngVel: 0.02 | Speed: 100.0 | DistToTarget: 313.8 | Colliding: False | NearestObstacle: 22.5
Step 118 | Time: 1.967s | Pos: (824.1, 410.3) | Vel: (95.4, 30.0) | Orient: 0.37 rad | AngVel: 0.02 | Speed: 100.0 | DistToTarget: 312.1 | Colliding: False | NearestObstacle: 23.5
Step 119 | Time: 1.983s | Pos: (825.7, 410.8) | Vel: (95.3, 30.4) | Orient: 0.37 rad | AngVel: 0.02 | Speed: 100.0 | DistToTarget: 310.4 | Colliding: False | NearestObstacle: 24.5
Step 120 | Time: 2.000s | Pos: (827.3, 411.3) | Vel: (95.1, 30.8) | Orient: 0.37 rad | AngVel: 0.02 | Speed: 100.0 | DistToTarget: 308.8 | Colliding: False | NearestObstacle: 25.5
Step 121 | Time: 2.017s | Pos: (828.9, 411.9) | Vel: (95.0, 31.1) | Orient: 0.37 rad | AngVel: 0.02 | Speed: 100.0 | DistToTarget: 307.1 | Colliding: False | NearestObstacle: 26.5
Step 122 | Time: 2.033s | Pos: (830.4, 412.4) | Vel: (94.9, 31.5) | Orient: 0.37 rad | AngVel: 0.02 | Speed: 100.0 | DistToTarget: 305.4 | Colliding: False | NearestObstacle: 27.5
Step 123 | Time: 2.050s | Pos: (832.0, 412.9) | Vel: (94.8, 31.8) | Orient: 0.37 rad | AngVel: 0.02 | Speed: 100.0 | DistToTarget: 303.8 | Colliding: False | NearestObstacle: 28.6
Step 124 | Time: 2.067s | Pos: (833.6, 413.4) | Vel: (94.7, 32.1) | Orient: 0.37 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 302.1 | Colliding: False | NearestObstacle: 29.7
