Step 67 | Time: 1.117s | Pos: (583.1, 368.3) | Vel: (-86.3, 53.0) | Orient: -2.60 rad | AngVel: 0.17 | Speed: 101.3 | DistToTarget: 528.2 | Colliding: False | NearestObstacle: 64.2
Step 68 | Time: 1.133s | Pos: (581.7, 369.3) | Vel: (-83.5, 63.7) | Orient: -2.60 rad | AngVel: 0.18 | Speed: 105.0 | DistToTarget: 527.5 | Colliding: False | NearestObstacle: 63.6
Step 69 | Time: 1.150s | Pos: (580.3, 370.6) | Vel: (-81.9, 74.2) | Orient: -2.60 rad | AngVel: 0.20 | Speed: 110.5 | DistToTarget: 527.0 | Colliding: False | NearestObstacle: 63.2
Step 70 | Time: 1.167s | Pos: (579.0, 372.0) | Vel: (-81.8, 84.1) | Orient: -2.59 rad | AngVel: 0.21 | Speed: 117.3 | DistToTarget: 526.6 | Colliding: False | NearestObstacle: 62.9
Step 71 | Time: 1.183s | Pos: (577.6, 373.5) | Vel: (-83.4, 93.2) | Orient: -2.59 rad | AngVel: 0.23 | Speed: 125.1 | DistToTarget: 526.2 | Colliding: False | NearestObstacle: 62.7
Step 72 | Time: 1.200s | Pos: (576.1, 375.2) | Vel: (-86.7, 101.3) | Orient: -2.58 rad | AngVel: 0.25 | Speed: 133.3 | DistToTarget: 525.9 | Colliding: False | NearestObstacle: 62.6
Step 73 | Time: 1.217s | Pos: (574.6, 377.0) | Vel: (-91.9, 108.2) | Orient: -2.58 rad | AngVel: 0.27 | Speed: 142.0 | DistToTarget: 525.5 | Colliding: False | NearestObstacle: 62.6
Step 74 | Time: 1.233s | Pos: (573.0, 378.9) | Vel: (-98.8, 114.0) | Orient: -2.57 rad | AngVel: 0.28 | Speed: 150.8 | DistToTarget: 525.2 | Colliding: False | NearestObstacle: 62.6
Step 75 | Time: 1.250s | Pos: (571.2, 380.9) | Vel: (-107.4, 118.5) | Orient: -2.57 rad | AngVel: 0.30 | Speed: 159.9 | DistToTarget: 524.7 | Colliding: False | NearestObstacle: 62.6
Step 76 | Time: 1.267s | Pos: (569.2, 382.9) | Vel: (-117.4, 121.8) | Orient: -2.56 rad | AngVel: 0.32 | Speed: 169.2 | DistToTarget: 524.2 | Colliding: False | NearestObstacle: 62.6
Step 77 | Time: 1.283s | Pos: (567.1, 385.0) | Vel: (-128.6, 124.2) | Orient: -2.56 rad | AngVel: 0.33 | Speed: 178.8 | DistToTarget: 523.5 | Colliding: False | NearestObstacle: 62.5
Step 78 | Time: 1.300s | Pos: (564.7, 387.1) | Vel: (-140.8, 125.7) | Orient: -2.55 rad | AngVel: 0.35 | Speed: 188.7 | DistToTarget: 522.7 | Colliding: False | NearestObstacle: 62.4
Step 79 | Time: 1.317s | Pos: (562.2, 389.2) | Vel: (-153.6, 126.5) | Orient: -2.55 rad | AngVel: 0.37 | Speed: 199.0 | DistToTarget: 521.8 | Colliding: False | NearestObstacle: 62.3
Step 80 | Time: 1.333s | Pos: (559.4, 391.3) | Vel: (-166.8, 126.7) | Orient: -2.54 rad | AngVel: 0.38 | Speed: 209.5 | DistToTarget: 520.7 | Colliding: False | NearestObstacle: 62.2
Step 81 | Time: 1.350s | Pos: (556.4, 393.4) | Vel: (-180.3, 126.5) | Orient: -2.53 rad | AngVel: 0.40 | Speed: 220.2 | DistToTarget: 519.4 | Colliding: False | NearestObstacle: 62.0
Step 82 | Time: 1.367s | Pos: (553.1, 395.5) | Vel: (-193.9, 125.9) | Orient: -2.53 rad | AngVel: 0.41 | Speed: 231.2 | DistToTarget: 518.0 | Colliding: False | NearestObstacle: 61.8
