Step 92 | Time: 1.533s | Pos: (498.6, 434.9) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 93 | Time: 1.550s | Pos: (494.2, 437.3) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 94 | Time: 1.567s | Pos: (489.8, 439.6) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 95 | Time: 1.583s | Pos: (485.4, 441.9) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 96 | Time: 1.600s | Pos: (481.0, 444.3) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 97 | Time: 1.617s | Pos: (476.5, 446.6) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 98 | Time: 1.633s | Pos: (472.1, 449.0) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 99 | Time: 1.650s | Pos: (467.7, 451.3) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 100 | Time: 1.667s | Pos: (463.3, 453.6) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 101 | Time: 1.683s | Pos: (458.9, 456.0) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 102 | Time: 1.700s | Pos: (454.4, 458.3) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 103 | Time: 1.717s | Pos: (450.0, 460.7) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 104 | Time: 1.733s | Pos: (445.6, 463.0) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 105 | Time: 1.750s | Pos: (441.2, 465.4) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 106 | Time: 1.767s | Pos: (436.8, 467.7) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
