Step 95 | Time: 1.583s | Pos: (496.9, 431.5) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 224.7 | Colliding: False | NearestObstacle: 46.3
Step 96 | Time: 1.600s | Pos: (495.4, 432.3) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 223.1 | Colliding: False | NearestObstacle: 45.2
Step 97 | Time: 1.617s | Pos: (493.9, 433.0) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 221.4 | Colliding: False | NearestObstacle: 44.2
Step 98 | Time: 1.633s | Pos: (492.4, 433.8) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 219.7 | Colliding: False | NearestObstacle: 43.2
Step 99 | Time: 1.650s | Pos: (490.9, 434.5) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 218.1 | Colliding: False | NearestObstacle: 42.2
Step 100 | Time: 1.667s | Pos: (489.4, 435.2) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 216.4 | Colliding: False | NearestObstacle: 41.2
Step 101 | Time: 1.683s | Pos: (487.9, 436.0) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 214.7 | Colliding: False | NearestObstacle: 40.3
Step 102 | Time: 1.700s | Pos: (486.4, 436.7) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 213.1 | Colliding: False | NearestObstacle: 39.4
Step 103 | Time: 1.717s | Pos: (484.9, 437.5) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 211.4 | Colliding: False | NearestObstacle: 38.6
Step 104 | Time: 1.733s | Pos: (483.5, 438.2) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 209.7 | Colliding: False | NearestObstacle: 37.7
Step 105 | Time: 1.750s | Pos: (482.0, 439.0) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 208.1 | Colliding: False | NearestObstacle: 37.0
Step 106 | Time: 1.767s | Pos: (480.5, 439.7) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 206.4 | Colliding: False | NearestObstacle: 36.2
