Step 70 | Time: 1.167s | Pos: (485.5, 249.6) | Vel: (-310.1, -78.4) | Orient: 2.75 rad | AngVel: -0.42 | Speed: 319.9 | DistToTarget: 455.4 | Colliding: False | NearestObstacle: 139.9
Step 71 | Time: 1.183s | Pos: (480.3, 248.3) | Vel: (-312.0, -76.5) | Orient: 2.74 rad | AngVel: -0.42 | Speed: 321.3 | DistToTarget: 451.1 | Colliding: False | NearestObstacle: 140.9
Step 72 | Time: 1.200s | Pos: (475.1, 247.1) | Vel: (-313.7, -74.4) | Orient: 2.74 rad | AngVel: -0.43 | Speed: 322.4 | DistToTarget: 446.8 | Colliding: False | NearestObstacle: 142.1
Step 73 | Time: 1.217s | Pos: (469.8, 245.9) | Vel: (-315.1, -72.4) | Orient: 2.73 rad | AngVel: -0.43 | Speed: 323.3 | DistToTarget: 442.5 | Colliding: False | NearestObstacle: 143.4
Step 74 | Time: 1.233s | Pos: (464.6, 244.7) | Vel: (-316.2, -70.4) | Orient: 2.72 rad | AngVel: -0.44 | Speed: 323.9 | DistToTarget: 438.1 | Colliding: False | NearestObstacle: 142.8
Step 75 | Time: 1.250s | Pos: (459.3, 243.6) | Vel: (-316.9, -68.6) | Orient: 2.71 rad | AngVel: -0.44 | Speed: 324.2 | DistToTarget: 433.8 | Colliding: False | NearestObstacle: 138.7
Step 76 | Time: 1.267s | Pos: (454.0, 242.4) | Vel: (-317.2, -67.1) | Orient: 2.71 rad | AngVel: -0.45 | Speed: 324.3 | DistToTarget: 429.5 | Colliding: False | NearestObstacle: 134.7
Step 77 | Time: 1.283s | Pos: (448.7, 241.4) | Vel: (-317.3, -65.8) | Orient: 2.70 rad | AngVel: -0.45 | Speed: 324.0 | DistToTarget: 425.1 | Colliding: False | NearestObstacle: 130.8
Step 78 | Time: 1.300s | Pos: (443.4, 240.3) | Vel: (-316.9, -65.0) | Orient: 2.69 rad | AngVel: -0.46 | Speed: 323.5 | DistToTarget: 420.8 | Colliding: False | NearestObstacle: 126.9
Step 79 | Time: 1.317s | Pos: (438.2, 239.2) | Vel: (-316.3, -64.7) | Orient: 2.68 rad | AngVel: -0.47 | Speed: 322.8 | DistToTarget: 416.6 | Colliding: False | NearestObstacle: 123.1
Step 80 | Time: 1.333s | Pos: (432.9, 238.1) | Vel: (-315.3, -65.1) | Orient: 2.68 rad | AngVel: -0.48 | Speed: 322.0 | DistToTarget: 412.4 | Colliding: False | NearestObstacle: 119.5
Step 81 | Time: 1.350s | Pos: (427.7, 237.0) | Vel: (-314.1, -66.1) | Orient: 2.67 rad | AngVel: -0.49 | Speed: 321.0 | DistToTarget: 408.2 | Colliding: False | NearestObstacle: 116.0
Step 82 | Time: 1.367s | Pos: (422.5, 235.9) | Vel: (-312.8, -67.8) | Orient: 2.66 rad | AngVel: -0.50 | Speed: 320.0 | DistToTarget: 404.1 | Colliding: False | NearestObstacle: 112.7
Step 83 | Time: 1.383s | Pos: (417.3, 234.7) | Vel: (-311.3, -70.4) | Orient: 2.65 rad | AngVel: -0.51 | Speed: 319.1 | DistToTarget: 400.0 | Colliding: False | NearestObstacle: 109.5
Step 84 | Time: 1.400s | Pos: (412.1, 233.5) | Vel: (-309.8, -73.8) | Orient: 2.64 rad | AngVel: -0.53 | Speed: 318.5 | DistToTarget: 396.1 | Colliding: False | NearestObstacle: 106.6
Step 85 | Time: 1.417s | Pos: (407.0, 232.2) | Vel: (-308.5, -78.0) | Orient: 2.63 rad | AngVel: -0.54 | Speed: 318.2 | DistToTarget: 392.2 | Colliding: False | NearestObstacle: 103.9
Step 86 | Time: 1.433s | Pos: (401.8, 230.8) | Vel: (-307.4, -83.0) | Orient: 2.62 rad | AngVel: -0.56 | Speed: 318.4 | DistToTarget: 388.4 | Colliding: False | NearestObstacle: 101.4
Step 87 | Time: 1.450s | Pos: (396.7, 229.3) | Vel: (-306.7, -88.5) | Orient: 2.61 rad | AngVel: -0.59 | Speed: 319.2 | DistToTarget: 384.8 | Colliding: False | NearestObstacle: 99.1
Step 88 | Time: 1.467s | Pos: (391.6, 227.7) | Vel: (-306.6, -94.5) | Orient: 2.60 rad | AngVel: -0.61 | Speed: 320.8 | DistToTarget: 381.2 | Colliding: False | NearestObstacle: 97.2
Step 89 | Time: 1.483s | Pos: (386.5, 226.1) | Vel: (-307.3, -100.6) | Orient: 2.59 rad | AngVel: -0.64 | Speed: 323.3 | DistToTarget: 377.6 | Colliding: False | NearestObstacle: 95.5
Step 90 | Time: 1.500s | Pos: (381.4, 224.3) | Vel: (-308.8, -106.6) | Orient: 2.58 rad | AngVel: -0.67 | Speed: 326.7 | DistToTarget: 374.2 | Colliding: False | NearestObstacle: 94.2
Step 91 | Time: 1.517s | Pos: (376.2, 222.4) | Vel: (-311.4, -112.0) | Orient: 2.57 rad | AngVel: -0.70 | Speed: 330.9 | DistToTarget: 370.8 | Colliding: False | NearestObstacle: 93.1
Step 92 | Time: 1.533s | Pos: (370.9, 220.5) | Vel: (-315.1, -116.4) | Orient: 2.56 rad | AngVel: -0.73 | Speed: 335.9 | DistToTarget: 367.5 | Colliding: False | NearestObstacle: 92.4
Step 93 | Time: 1.550s | Pos: (365.6, 218.5) | Vel: (-320.0, -119.4) | Orient: 2.55 rad | AngVel: -0.76 | Speed: 341.5 | DistToTarget: 364.2 | Colliding: False | NearestObstacle: 91.9
Step 94 | Time: 1.567s | Pos: (360.1, 216.5) | Vel: (-325.9, -120.7) | Orient: 2.53 rad | AngVel: -0.79 | Speed: 347.6 | DistToTarget: 360.9 | Colliding: False | NearestObstacle: 91.7
Step 95 | Time: 1.583s | Pos: (354.6, 214.5) | Vel: (-333.0, -120.1) | Orient: 2.52 rad | AngVel: -0.82 | Speed: 353.9 | DistToTarget: 357.5 | Colliding: False | NearestObstacle: 91.7
Step 96 | Time: 1.600s | Pos: (348.9, 212.5) | Vel: (-340.9, -117.3) | Orient: 2.50 rad | AngVel: -0.84 | Speed: 360.5 | DistToTarget: 354.1 | Colliding: False | NearestObstacle: 92.0
Step 97 | Time: 1.617s | Pos: (343.1, 210.6) | Vel: (-349.5, -112.2) | Orient: 2.49 rad | AngVel: -0.86 | Speed: 367.1 | DistToTarget: 350.5 | Colliding: False | NearestObstacle: 92.5
Step 98 | Time: 1.633s | Pos: (337.1, 208.9) | Vel: (-358.6, -105.0) | Orient: 2.48 rad | AngVel: -0.88 | Speed: 373.6 | DistToTarget: 346.9 | Colliding: False | NearestObstacle: 93.2
Step 99 | Time: 1.650s | Pos: (331.0, 207.3) | Vel: (-367.8, -95.7) | Orient: 2.46 rad | AngVel: -0.89 | Speed: 380.1 | DistToTarget: 343.1 | Colliding: False | NearestObstacle: 94.0
Step 100 | Time: 1.667s | Pos: (324.7, 205.9) | Vel: (-377.1, -84.5) | Orient: 2.45 rad | AngVel: -0.90 | Speed: 386.5 | DistToTarget: 339.1 | Colliding: False | NearestObstacle: 95.0
Step 101 | Time: 1.683s | Pos: (318.3, 204.7) | Vel: (-386.1, -71.6) | Orient: 2.43 rad | AngVel: -0.91 | Speed: 392.7 | DistToTarget: 335.0 | Colliding: False | NearestObstacle: 96.1
Step 102 | Time: 1.700s | Pos: (311.7, 203.7) | Vel: (-394.6, -57.3) | Orient: 2.42 rad | AngVel: -0.92 | Speed: 398.7 | DistToTarget: 330.7 | Colliding: False | NearestObstacle: 97.4
Step 103 | Time: 1.717s | Pos: (305.0, 203.0) | Vel: (-402.4, -41.8) | Orient: 2.40 rad | AngVel: -0.92 | Speed: 404.6 | DistToTarget: 326.2 | Colliding: False | NearestObstacle: 98.7
Step 104 | Time: 1.733s | Pos: (298.2, 202.6) | Vel: (-409.4, -25.3) | Orient: 2.38 rad | AngVel: -0.93 | Speed: 410.2 | DistToTarget: 321.5 | Colliding: False | NearestObstacle: 100.2
Step 105 | Time: 1.750s | Pos: (291.2, 202.5) | Vel: (-415.5, -8.0) | Orient: 2.37 rad | AngVel: -0.93 | Speed: 415.6 | DistToTarget: 316.6 | Colliding: False | NearestObstacle: 101.8
Step 106 | Time: 1.767s | Pos: (284.2, 202.7) | Vel: (-420.7, 9.7) | Orient: 2.35 rad | AngVel: -0.93 | Speed: 420.8 | DistToTarget: 311.5 | Colliding: False | NearestObstacle: 103.4
Step 107 | Time: 1.783s | Pos: (277.1, 203.1) | Vel: (-424.8, 27.9) | Orient: 2.34 rad | AngVel: -0.92 | Speed: 425.7 | DistToTarget: 306.2 | Colliding: False | NearestObstacle: 105.2
Step 108 | Time: 1.800s | Pos: (270.0, 203.9) | Vel: (-427.8, 46.2) | Orient: 2.32 rad | AngVel: -0.92 | Speed: 430.3 | DistToTarget: 300.7 | Colliding: False | NearestObstacle: 107.1
Step 109 | Time: 1.817s | Pos: (262.8, 205.0) | Vel: (-429.8, 64.5) | Orient: 2.31 rad | AngVel: -0.92 | Speed: 434.6 | DistToTarget: 295.1 | Colliding: False | NearestObstacle: 109.1
Step 110 | Time: 1.833s | Pos: (255.7, 206.3) | Vel: (-430.8, 82.8) | Orient: 2.29 rad | AngVel: -0.91 | Speed: 438.7 | DistToTarget: 289.3 | Colliding: False | NearestObstacle: 111.2
