Step 74 | Time: 1.233s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 75 | Time: 1.250s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 76 | Time: 1.267s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 77 | Time: 1.283s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 78 | Time: 1.300s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 79 | Time: 1.317s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 80 | Time: 1.333s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 81 | Time: 1.350s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 82 | Time: 1.367s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 83 | Time: 1.383s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 84 | Time: 1.400s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 85 | Time: 1.417s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 86 | Time: 1.433s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 87 | Time: 1.450s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 88 | Time: 1.467s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 89 | Time: 1.483s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 90 | Time: 1.500s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 91 | Time: 1.517s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 92 | Time: 1.533s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 93 | Time: 1.550s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 94 | Time: 1.567s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 95 | Time: 1.583s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 96 | Time: 1.600s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 97 | Time: 1.617s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 98 | Time: 1.633s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 99 | Time: 1.650s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 100 | Time: 1.667s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 101 | Time: 1.683s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 102 | Time: 1.700s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 103 | Time: 1.717s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 104 | Time: 1.733s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 105 | Time: 1.750s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 106 | Time: 1.767s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 107 | Time: 1.783s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 108 | Time: 1.800s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 109 | Time: 1.817s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 110 | Time: 1.833s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 111 | Time: 1.850s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 112 | Time: 1.867s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 113 | Time: 1.883s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 114 | Time: 1.900s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 115 | Time: 1.917s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 116 | Time: 1.933s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 117 | Time: 1.950s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 118 | Time: 1.967s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 119 | Time: 1.983s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 120 | Time: 2.000s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 121 | Time: 2.017s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 122 | Time: 2.033s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 123 | Time: 2.050s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 124 | Time: 2.067s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
