Step 66 | Time: 1.100s | Pos: (747.9, 340.4) | Vel: (98.4, -17.7) | Orient: 0.33 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 192.3 | Colliding: False | NearestObstacle: 66.5
Step 67 | Time: 1.117s | Pos: (749.5, 340.1) | Vel: (98.4, -17.7) | Orient: 0.29 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 190.7 | Colliding: False | NearestObstacle: 65.3
Step 68 | Time: 1.133s | Pos: (751.2, 339.8) | Vel: (98.4, -17.7) | Orient: 0.26 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 189.0 | Colliding: False | NearestObstacle: 64.2
Step 69 | Time: 1.150s | Pos: (752.8, 339.5) | Vel: (98.4, -17.7) | Orient: 0.23 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 187.3 | Colliding: False | NearestObstacle: 63.1
Step 70 | Time: 1.167s | Pos: (754.5, 339.2) | Vel: (98.4, -17.6) | Orient: 0.19 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 185.7 | Colliding: False | NearestObstacle: 62.0
Step 71 | Time: 1.183s | Pos: (756.1, 338.9) | Vel: (98.4, -17.6) | Orient: 0.16 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 184.0 | Colliding: False | NearestObstacle: 60.9
Step 72 | Time: 1.200s | Pos: (757.7, 338.6) | Vel: (98.4, -17.6) | Orient: 0.13 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 182.3 | Colliding: False | NearestObstacle: 59.8
Step 73 | Time: 1.217s | Pos: (759.4, 338.3) | Vel: (98.4, -17.6) | Orient: 0.09 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 180.7 | Colliding: False | NearestObstacle: 58.8
Step 74 | Time: 1.233s | Pos: (761.0, 338.0) | Vel: (98.4, -17.6) | Orient: 0.06 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 179.0 | Colliding: False | NearestObstacle: 57.7
Step 75 | Time: 1.250s | Pos: (762.7, 337.7) | Vel: (98.4, -17.6) | Orient: 0.03 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 177.3 | Colliding: False | NearestObstacle: 56.7
Step 76 | Time: 1.267s | Pos: (764.3, 337.4) | Vel: (98.4, -17.5) | Orient: -0.01 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 175.7 | Colliding: False | NearestObstacle: 55.7
Step 77 | Time: 1.283s | Pos: (766.0, 337.1) | Vel: (98.5, -17.5) | Orient: -0.04 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 174.0 | Colliding: False | NearestObstacle: 54.8
Step 78 | Time: 1.300s | Pos: (767.6, 336.9) | Vel: (98.5, -17.5) | Orient: -0.07 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 172.3 | Colliding: False | NearestObstacle: 53.8
Step 79 | Time: 1.317s | Pos: (769.2, 336.6) | Vel: (98.5, -17.5) | Orient: -0.11 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 170.7 | Colliding: False | NearestObstacle: 52.9
Step 80 | Time: 1.333s | Pos: (770.9, 336.3) | Vel: (98.5, -17.5) | Orient: -0.14 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 169.0 | Colliding: False | NearestObstacle: 52.0
Step 81 | Time: 1.350s | Pos: (772.5, 336.0) | Vel: (98.5, -17.5) | Orient: -0.17 rad | AngVel: -1.85 | Speed: 100.0 | DistToTarget: 167.3 | Colliding: False | NearestObstacle: 51.1
Step 82 | Time: 1.367s | Pos: (774.2, 335.7) | Vel: (98.5, -17.4) | Orient: -0.19 rad | AngVel: -1.26 | Speed: 100.0 | DistToTarget: 165.7 | Colliding: False | NearestObstacle: 50.2
Step 83 | Time: 1.383s | Pos: (775.8, 335.4) | Vel: (98.5, -17.4) | Orient: -0.20 rad | AngVel: -0.57 | Speed: 100.0 | DistToTarget: 164.0 | Colliding: False | NearestObstacle: 49.4
Step 84 | Time: 1.400s | Pos: (777.4, 335.1) | Vel: (98.5, -17.4) | Orient: -0.20 rad | AngVel: -0.03 | Speed: 100.0 | DistToTarget: 162.3 | Colliding: False | NearestObstacle: 48.6
Step 85 | Time: 1.417s | Pos: (779.1, 334.8) | Vel: (98.5, -17.4) | Orient: -0.20 rad | AngVel: 0.29 | Speed: 100.0 | DistToTarget: 160.7 | Colliding: False | NearestObstacle: 47.8
Step 86 | Time: 1.433s | Pos: (780.7, 334.5) | Vel: (98.5, -17.4) | Orient: -0.19 rad | AngVel: 0.39 | Speed: 100.0 | DistToTarget: 159.0 | Colliding: False | NearestObstacle: 47.1
Step 87 | Time: 1.450s | Pos: (782.4, 334.2) | Vel: (98.5, -17.4) | Orient: -0.18 rad | AngVel: 0.33 | Speed: 100.0 | DistToTarget: 157.3 | Colliding: False | NearestObstacle: 46.3
