Step 87 | Time: 1.450s | Pos: (651.7, 464.9) | Vel: (18.3, 98.3) | Orient: 1.91 rad | AngVel: 0.76 | Speed: 100.0 | DistToTarget: 204.5 | Colliding: False | NearestObstacle: 71.5
Step 88 | Time: 1.467s | Pos: (652.0, 466.5) | Vel: (17.5, 98.4) | Orient: 1.92 rad | AngVel: 0.27 | Speed: 100.0 | DistToTarget: 203.0 | Colliding: False | NearestObstacle: 71.7
Step 89 | Time: 1.483s | Pos: (652.3, 468.2) | Vel: (16.7, 98.6) | Orient: 1.91 rad | AngVel: -0.02 | Speed: 100.0 | DistToTarget: 201.6 | Colliding: False | NearestObstacle: 71.9
Step 90 | Time: 1.500s | Pos: (652.5, 469.8) | Vel: (15.9, 98.7) | Orient: 1.91 rad | AngVel: -0.11 | Speed: 100.0 | DistToTarget: 200.1 | Colliding: False | NearestObstacle: 72.1
Step 91 | Time: 1.517s | Pos: (652.8, 471.5) | Vel: (15.0, 98.9) | Orient: 1.91 rad | AngVel: -0.06 | Speed: 100.0 | DistToTarget: 198.6 | Colliding: False | NearestObstacle: 72.3
Step 92 | Time: 1.533s | Pos: (653.0, 473.1) | Vel: (14.1, 99.0) | Orient: 1.91 rad | AngVel: 0.04 | Speed: 100.0 | DistToTarget: 197.2 | Colliding: False | NearestObstacle: 72.5
Step 93 | Time: 1.550s | Pos: (653.2, 474.8) | Vel: (13.1, 99.1) | Orient: 1.92 rad | AngVel: 0.16 | Speed: 100.0 | DistToTarget: 195.7 | Colliding: False | NearestObstacle: 72.8
Step 94 | Time: 1.567s | Pos: (653.4, 476.4) | Vel: (12.1, 99.3) | Orient: 1.92 rad | AngVel: 0.24 | Speed: 100.0 | DistToTarget: 194.2 | Colliding: False | NearestObstacle: 73.0
Step 95 | Time: 1.583s | Pos: (653.6, 478.1) | Vel: (11.0, 99.4) | Orient: 1.92 rad | AngVel: 0.29 | Speed: 100.0 | DistToTarget: 192.7 | Colliding: False | NearestObstacle: 73.3
Step 96 | Time: 1.600s | Pos: (653.8, 479.7) | Vel: (10.0, 99.5) | Orient: 1.93 rad | AngVel: 0.30 | Speed: 100.0 | DistToTarget: 191.2 | Colliding: False | NearestObstacle: 73.5
Step 97 | Time: 1.617s | Pos: (653.9, 481.4) | Vel: (8.9, 99.6) | Orient: 1.93 rad | AngVel: 0.28 | Speed: 100.0 | DistToTarget: 189.7 | Colliding: False | NearestObstacle: 73.8
Step 98 | Time: 1.633s | Pos: (654.1, 483.0) | Vel: (7.8, 99.7) | Orient: 1.94 rad | AngVel: 0.26 | Speed: 100.0 | DistToTarget: 188.2 | Colliding: False | NearestObstacle: 74.1
Step 99 | Time: 1.650s | Pos: (654.2, 484.7) | Vel: (6.7, 99.8) | Orient: 1.94 rad | AngVel: 0.24 | Speed: 100.0 | DistToTarget: 186.7 | Colliding: False | NearestObstacle: 74.4
Step 100 | Time: 1.667s | Pos: (654.3, 486.4) | Vel: (5.5, 99.8) | Orient: 1.95 rad | AngVel: 0.22 | Speed: 100.0 | DistToTarget: 185.2 | Colliding: False | NearestObstacle: 74.7
Step 101 | Time: 1.683s | Pos: (654.3, 488.0) | Vel: (4.4, 99.9) | Orient: 1.95 rad | AngVel: 0.21 | Speed: 100.0 | DistToTarget: 183.7 | Colliding: False | NearestObstacle: 75.0
Step 102 | Time: 1.700s | Pos: (654.4, 489.7) | Vel: (3.3, 99.9) | Orient: 1.95 rad | AngVel: 0.21 | Speed: 100.0 | DistToTarget: 182.1 | Colliding: False | NearestObstacle: 75.3
Step 103 | Time: 1.717s | Pos: (654.4, 491.4) | Vel: (2.1, 100.0) | Orient: 1.96 rad | AngVel: 0.21 | Speed: 100.0 | DistToTarget: 180.6 | Colliding: False | NearestObstacle: 75.6
Step 104 | Time: 1.733s | Pos: (654.4, 493.0) | Vel: (1.0, 100.0) | Orient: 1.96 rad | AngVel: 0.21 | Speed: 100.0 | DistToTarget: 179.1 | Colliding: False | NearestObstacle: 76.0
Step 105 | Time: 1.750s | Pos: (654.4, 494.7) | Vel: (-0.2, 100.0) | Orient: 1.96 rad | AngVel: 0.21 | Speed: 100.0 | DistToTarget: 177.5 | Colliding: False | NearestObstacle: 76.3
Step 106 | Time: 1.767s | Pos: (654.4, 496.4) | Vel: (-1.3, 100.0) | Orient: 1.97 rad | AngVel: 0.21 | Speed: 100.0 | DistToTarget: 176.0 | Colliding: False | NearestObstacle: 76.6
Step 107 | Time: 1.783s | Pos: (654.4, 498.0) | Vel: (-2.4, 100.0) | Orient: 1.97 rad | AngVel: 0.21 | Speed: 100.0 | DistToTarget: 174.4 | Colliding: False | NearestObstacle: 77.0
Step 108 | Time: 1.800s | Pos: (654.3, 499.7) | Vel: (-3.5, 99.9) | Orient: 1.97 rad | AngVel: 0.21 | Speed: 100.0 | DistToTarget: 172.9 | Colliding: False | NearestObstacle: 77.4
Step 109 | Time: 1.817s | Pos: (654.2, 501.4) | Vel: (-4.7, 99.9) | Orient: 1.98 rad | AngVel: 0.21 | Speed: 100.0 | DistToTarget: 171.3 | Colliding: False | NearestObstacle: 77.7
Step 110 | Time: 1.833s | Pos: (654.2, 503.0) | Vel: (-5.8, 99.8) | Orient: 1.98 rad | AngVel: 0.20 | Speed: 100.0 | DistToTarget: 169.7 | Colliding: False | NearestObstacle: 78.1
Step 111 | Time: 1.850s | Pos: (654.0, 504.7) | Vel: (-6.9, 99.8) | Orient: 1.98 rad | AngVel: 0.20 | Speed: 100.0 | DistToTarget: 168.2 | Colliding: False | NearestObstacle: 78.5
Step 112 | Time: 1.867s | Pos: (653.9, 506.4) | Vel: (-7.9, 99.7) | Orient: 1.99 rad | AngVel: 0.20 | Speed: 100.0 | DistToTarget: 166.6 | Colliding: False | NearestObstacle: 78.9
Step 113 | Time: 1.883s | Pos: (653.8, 508.0) | Vel: (-9.0, 99.6) | Orient: 1.99 rad | AngVel: 0.19 | Speed: 100.0 | DistToTarget: 165.0 | Colliding: False | NearestObstacle: 79.3
Step 114 | Time: 1.900s | Pos: (653.6, 509.7) | Vel: (-10.1, 99.5) | Orient: 1.99 rad | AngVel: 0.19 | Speed: 100.0 | DistToTarget: 163.4 | Colliding: False | NearestObstacle: 79.7
Step 115 | Time: 1.917s | Pos: (653.4, 511.3) | Vel: (-11.1, 99.4) | Orient: 2.00 rad | AngVel: 0.19 | Speed: 100.0 | DistToTarget: 161.8 | Colliding: False | NearestObstacle: 80.1
Step 116 | Time: 1.933s | Pos: (653.2, 513.0) | Vel: (-12.1, 99.3) | Orient: 2.00 rad | AngVel: 0.19 | Speed: 100.0 | DistToTarget: 160.3 | Colliding: False | NearestObstacle: 80.5
Step 117 | Time: 1.950s | Pos: (653.0, 514.6) | Vel: (-13.1, 99.1) | Orient: 2.00 rad | AngVel: 0.18 | Speed: 100.0 | DistToTarget: 158.7 | Colliding: False | NearestObstacle: 81.0
Step 118 | Time: 1.967s | Pos: (652.7, 516.3) | Vel: (-14.1, 99.0) | Orient: 2.01 rad | AngVel: 0.18 | Speed: 100.0 | DistToTarget: 157.1 | Colliding: False | NearestObstacle: 81.4
Step 119 | Time: 1.983s | Pos: (652.5, 517.9) | Vel: (-15.1, 98.9) | Orient: 2.01 rad | AngVel: 0.18 | Speed: 100.0 | DistToTarget: 155.5 | Colliding: False | NearestObstacle: 81.9
Step 120 | Time: 2.000s | Pos: (652.2, 519.6) | Vel: (-16.1, 98.7) | Orient: 2.01 rad | AngVel: 0.18 | Speed: 100.0 | DistToTarget: 153.9 | Colliding: False | NearestObstacle: 82.3
Step 121 | Time: 2.017s | Pos: (651.9, 521.2) | Vel: (-17.0, 98.5) | Orient: 2.01 rad | AngVel: 0.17 | Speed: 100.0 | DistToTarget: 152.3 | Colliding: False | NearestObstacle: 82.8
Step 122 | Time: 2.033s | Pos: (651.6, 522.9) | Vel: (-18.0, 98.4) | Orient: 2.02 rad | AngVel: 0.17 | Speed: 100.0 | DistToTarget: 150.6 | Colliding: False | NearestObstacle: 83.2
