Step 103 | Time: 1.717s | Pos: (461.0, 532.5) | Vel: (70.0, 218.1) | Orient: 0.43 rad | AngVel: -2.52 | Speed: 229.1 | DistToTarget: 64.5 | Colliding: False | NearestObstacle: 154.1
Step 104 | Time: 1.733s | Pos: (462.3, 536.1) | Vel: (75.5, 214.4) | Orient: 0.38 rad | AngVel: -2.64 | Speed: 227.3 | DistToTarget: 61.9 | Colliding: False | NearestObstacle: 153.8
Step 105 | Time: 1.750s | Pos: (463.6, 539.6) | Vel: (81.0, 210.1) | Orient: 0.34 rad | AngVel: -2.77 | Speed: 225.2 | DistToTarget: 59.5 | Colliding: False | NearestObstacle: 153.5
Step 106 | Time: 1.767s | Pos: (465.1, 543.0) | Vel: (86.5, 205.4) | Orient: 0.29 rad | AngVel: -2.90 | Speed: 222.9 | DistToTarget: 57.1 | Colliding: False | NearestObstacle: 153.2
Step 107 | Time: 1.783s | Pos: (466.6, 546.3) | Vel: (92.0, 200.1) | Orient: 0.24 rad | AngVel: -3.03 | Speed: 220.2 | DistToTarget: 54.7 | Colliding: False | NearestObstacle: 152.8
Step 108 | Time: 1.800s | Pos: (468.2, 549.6) | Vel: (97.3, 194.2) | Orient: 0.19 rad | AngVel: -3.17 | Speed: 217.2 | DistToTarget: 52.5 | Colliding: False | NearestObstacle: 152.4
Step 109 | Time: 1.817s | Pos: (469.9, 552.7) | Vel: (102.5, 187.7) | Orient: 0.13 rad | AngVel: -3.30 | Speed: 213.9 | DistToTarget: 50.3 | Colliding: False | NearestObstacle: 151.9
Step 110 | Time: 1.833s | Pos: (471.7, 555.7) | Vel: (107.5, 180.6) | Orient: 0.07 rad | AngVel: -3.44 | Speed: 210.2 | DistToTarget: 48.2 | Colliding: False | NearestObstacle: 151.4
Step 111 | Time: 1.850s | Pos: (473.6, 558.6) | Vel: (112.2, 172.9) | Orient: 0.01 rad | AngVel: -3.58 | Speed: 206.1 | DistToTarget: 46.3 | Colliding: False | NearestObstacle: 150.8
Step 112 | Time: 1.867s | Pos: (475.5, 561.3) | Vel: (116.6, 164.5) | Orient: -0.05 rad | AngVel: -3.71 | Speed: 201.6 | DistToTarget: 44.4 | Colliding: False | NearestObstacle: 150.2
